id_documento,id_principal,casa,sigla_tipo,numero,ano,data_apresentacao,ementa,cod_tipo_documento,descricao_tipo_documento,ementa_detalhada,keywords,status_proposicao_cod_situacao,status_proposicao_cod_tipo_tramitacao,status_proposicao_data_hora,status_proposicao_descricao_situacao,status_proposicao_descricao_tramitacao,status_proposicao_despacho,status_proposicao_regime,status_proposicao_sequencia,status_proposicao_sigla_orgao,status_proposicao_uri_orgao,status_proposicao_uri_ultimo_relator,status_proposicao_url,uri_documento,uri_autores,uri_prop_posterior,uri_prop_principal,uri_ultimo_relator,url_inteiro_teor,status_proposicao_ambito,uri_orgao_numerador
2190563,2190563,camara,PL,108,2019,2019-02-04T17:25,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, reclassificando os apicuns e salgados como Área de Presevação Permanente (APP).",139,Projeto de Lei,,"Alteração, Código Florestal (2012), vinculação, ecossistema, apicum, salgado, conceito, manguezal, Área de Preservação Permanente (APP). _Revogação, dispositivo legal, lei federal, uso sustentável, ecossistema, salgado, apicum.",924,250,2019-11-12T10:00,Pronta para Pauta,Retirada de Pauta,"Aprovado requerimento de retirada de pauta, Deputado Renhold Stephanes Junior.","Ordinária (Art. 151, III, RICD)",23,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,https://dadosabertos.camara.leg.br/api/v2/deputados/204352,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190563,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190563/autores,NA,NA,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707494,Regimental,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174
2190945,2190945,camara,PL,358,2019,2019-02-05T09:29,"Altera a Lei nº 9.605, de 1998 (Lei de Crimes Ambientais), para dispor sobre o valor das multas em caso de desastre ambiental.",139,Projeto de Lei,,"Alteração, Lei dos Crimes Ambientais, infração administrativa, obrigatoriedade, reparação do dano, multa, desastre ambiental.",925,500,2019-03-08T11:21,Tramitando em Conjunto,Recebimento,"Recebimento pela CFT, apensado ao PL-4286/2016","Prioridade (Art. 151, II, RICD)",16,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190945,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190945/autores,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2076716,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707305,Regimental,NA
2191516,2191516,camara,PL,570,2019,2019-02-08T13:49,"Torna hediondos os crimes ambientais, quando afetam gravemente ecossistemas e coloquem em risco a vida e a saúde humanas.",139,Projeto de Lei,,"Alteração, Lei dos Crimes Ambientais, Lei dos Crimes Hediondos, tipicidade penal, crime hediondo, comprometimento, ameaça, existência, continuidade, ecossistema, apresentação, risco de morte, saúde, pessoa.",925,504,2020-10-19T17:29,Tramitando em Conjunto,Notificação de Apensação,Apense-se a este(a) o(a) PL-1225/2020.,"Prioridade (Art. 151, II, RICD)",19,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1876587,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2191516,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2191516/autores,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/402633,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1708812,Regimental,https://dadosabertos.camara.leg.br/api/v2/orgaos/180
2192045,2192045,camara,PL,784,2019,2019-02-13T18:31,"Dispõe sobre a criação, gestão e manejo de Reserva Particular do Patrimônio Natural - RPPN e dá outras providências.",139,Projeto de Lei,,"Disciplinamento, criação, gestão, manejo ecológico, Reserva Particular do Patrimônio Natural (RPPN), Fundo Nacional das Reservas Particulares do Patrimônio Natural (Fundo RPPN), Fonte de receita, Comitê gestor, composição, critérios, pagamento, serviços ambientais, preservação, fauna, flora, criação, Dia Nacional das Reservas Particulares do Patrimônio Natural - RPPN,  comemoração, janeiro.
_Alteração, Lei do Sistema Nacional de Unidades de Conservação da Natureza, inclusão, Reserva Particular do Patrimônio Natural (RPPN), Unidade de conservação de proteção integral.
_Alteração, Lei dos Crimes Ambientais, inclusão, Reserva Particular do Patrimônio Natural (RPPN), Unidade de conservação de proteção integral, supressão, inclusão, Unidade de conservação de uso sustentável.",924,322,2019-12-12T10:36,Pronta para Pauta,Parecer do Relator,"Parecer do Relator, Dep. Bosco Costa (PL-SE), pela aprovação, com substitutivo.","Ordinária (Art. 151, III, RICD)",31,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,https://dadosabertos.camara.leg.br/api/v2/deputados/74052,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1845701,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192045,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192045/autores,NA,NA,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1710592,Regimental,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001
2192260,2192260,camara,PLP,37,2019,2019-02-14T17:46,"Altera a Lei Complementar no 140, de 8 de dezembro de 2011, para estabelecer a competência da União nos licenciamentos ambientais destinados a executar pesquisa lavra ou extração de recursos minerais em Estados compreendidos na Amazônia Legal.",140,Projeto de Lei Complementar,,"Alteração, lei complementar, competência administrativa, União, Licenciamento ambiental, empreendimento minerário, atividade, mineração, pesquisa mineral, lavra mineral, extração mineral, recursos minerais, Estado (ente federado), Amazônia legal.",932,504,2019-05-16T16:30,Aguardando Definição Encaminhamento,Notificação de Apensação,Apensação do PLP 127/2019 a esta proposição.,"Urgência (Art. 155, RICD)",17,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192260,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192260/autores,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/531004,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1711139,Protocolar,NA
2192507,2192507,camara,PL,940,2019,2019-02-20T15:53,"Altera a Lei nº 13.245, de 30 de março de 2017, e dá outras providências.",139,Projeto de Lei,,"Alteração, Lei Federal, aumento, controle, incêndio, desastre, estabelecimento comercial, edificação, local, evento público, seguro, responsabilidade civil, dano ambiental, dano, Impacto socioeconômico. _ Código de Defesa do Consumidor, proibição, comanda, consumo, boate, danceteria, medida de segurança, incêndio. _ Código Civil (2002), Conselho Nacional de Metrologia, Normalização e Qualidade Industrial (Conmetro), Associação Brasileira de Normas Técnicas (ABNT), inspeção técnica, edifício, construção, critério, vistoria.",925,604,2019-03-26T00:00,Tramitando em Conjunto,Publicação de Proposição,Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 27/03/19 PÁG 613.,"Urgência (Art. 155, RICD)",14,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192507,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192507/autores,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/620617,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1712682,Regimental,NA
2193334,2193334,camara,PL,1205,2019,2019-02-27T14:35,"Dispõe sobre a zona de amortecimento das unidades de conservação; altera a Lei n° 9.985, de 18 de julho de 2000.",139,Projeto de Lei,,"Alteração, Lei do Sistema Nacional de Unidades de Conservação da Natureza, aperfeiçoamento, norma geral, definição, zona de amortecimento, corredor ecológico, unidade de conservação.",907,604,2019-12-18T00:00,Aguardando Designação de Relator,Publicação de Proposição,"Encaminhada à publicação. Parecer da Comissão de Desenvolvimento Urbano Publicado em avulso e no DCD de 19/12/19 PÁG 596, Letra A.","Ordinária (Art. 151, III, RICD)",28,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,https://dadosabertos.camara.leg.br/api/v2/deputados/121948,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1874983,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2193334,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2193334/autores,NA,NA,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1719627,Regimental,https://dadosabertos.camara.leg.br/api/v2/orgaos/2006
2195320,2195320,camara,PL,1728,2019,2019-03-26T15:40,Trata de regramento acerca de plantio e supressão de vegetação em faixas de domínio ao longo de rodovias.,139,Projeto de Lei,,"Alteração, Código de Trânsito Brasileiro, Poder Público, definição, extensão, supressão, vegetação, Faixa lateral de segurança, faixa de domínio, rodovia.",925,500,2019-10-24T12:35,Tramitando em Conjunto,Recebimento,"Recebimento pela CCJC, apensado ao PL-7394/2017","Ordinária (Art. 151, III, RICD)",19,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,NA,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2195320,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2195320/autores,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2129215,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1723786,Regimental,NA
2195635,2195635,camara,PL,1792,2019,2019-03-27T14:52,"Altera o § 2º do art. 2º da Lei nº 13.178, de 22 de outubro de 2015, para ampliar o prazo para ratificação dos registros imobiliários referentes aos imóveis rurais com origem em títulos de alienação ou de concessão de terras devolutas expedidos pelos Estados em faixa de fronteira.

NOVA EMENTA: Altera a Lei nº 13.178, de 22 de outubro de 2015, para ampliar o prazo para ratificação dos registros imobiliários referentes aos imóveis rurais com origem em títulos de alienação ou de concessão de terras devolutas expedidos pelos Estados em faixa de fronteira; e dá outras providências.",139,Projeto de Lei,,"Alteração, lei federal, ampliação, prazo determinado, ratificação, registro de imóvel, imóvel rural, alienação, concessão, terra devoluta, faixa de fronteira.",926,1005,2019-12-11T00:00,Aguardando Apreciação pelo Senado Federal,Notificações,Autos à Seção de Autógrafos.,"Urgência (Art. 155, RICD)",60,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,https://dadosabertos.camara.leg.br/api/v2/deputados/178933,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2195635,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2195635/autores,NA,NA,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1730482,Regimental,https://dadosabertos.camara.leg.br/api/v2/orgaos/2018
2201537,2192260,camara,PLP,127,2019,2019-05-09T16:05,"Altera a Lei Complementar nº 140, de 8 de dezembro de 2011, para aperfeiçoar as regras sobre as atribuições para o licenciamento ambiental.",140,Projeto de Lei Complementar,,"Alteração, lei complementar, cooperação, União, Estado (ente federado), Distrito Federal, Município, Competência comum, proteção, meio ambiente, aperfeiçoamento, ação administrativa, licenciamento ambiental.",924,504,2019-11-11T17:41,Pronta para Pauta,Notificação de Apensação,Apensação do PLP 241/2019 a esta proposição.,"Urgência (Art. 155, RICD)",21,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2201537,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2201537/autores,NA,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192260,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,Protocolar,https://dadosabertos.camara.leg.br/api/v2/orgaos/180
