id_autor,id_documento,id_principal,nome,tipo_autor,uri_autor,casa,partido,uf,cod_tipo_autor
204543,2224581,2224581,Luiz Flávio Gomes,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204543,camara,PSB,SP,10000
204544,2263833,2263833,Alexandre Frota,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204544,camara,PSL,SP,10000
204544,2242315,2191516,Alexandre Frota,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204544,camara,PSL,SP,10000
204547,2201537,2192260,Léo Motta,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204547,camara,PSL,MG,10000
204555,2237358,2237205,José Ricardo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204555,camara,PT,AM,10000
204555,2237358,2237358,José Ricardo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204555,camara,PT,AM,10000
204558,2263448,2263448,Marcelo Nilo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204558,camara,PSB,BA,10000
204558,2263824,2263448,Marcelo Nilo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204558,camara,PSB,BA,10000
204561,2263448,2263448,Bira Do Pindaré,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204561,camara,PSB,MA,10000
204561,2231918,2231918,Bira Do Pindaré,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204561,camara,PSB,MA,10000
204561,2263824,2263448,Bira Do Pindaré,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204561,camara,PSB,MA,10000
204566,2224224,2224224,Marreca Filho,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204566,camara,PATRIOTA,MA,10000
204570,2264310,2264310,Pastor Gildenemyr,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204570,camara,PMN,MA,10000
204572,2227505,2227505,Capitão Alberto Neto,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204572,camara,PRB,AM,10000
204572,2232483,2214203,Capitão Alberto Neto,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204572,camara,PRB,AM,10000
204572,2238590,2238590,Capitão Alberto Neto,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204572,camara,PRB,AM,10000
204572,2264650,2264650,Capitão Alberto Neto,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204572,camara,PRB,AM,10000
204572,2232031,2214203,Capitão Alberto Neto,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204572,camara,PRB,AM,10000
204573,2226717,2226717,Otto Alencar Filho,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204573,camara,PSD,BA,10000
205548,2263463,2263463,David Miranda,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/205548,camara,PSOL,RJ,10000
205548,2263496,2263463,David Miranda,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/205548,camara,PSOL,RJ,10000
205548,2263490,2263463,David Miranda,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/205548,camara,PSOL,RJ,10000
206231,2263448,2263448,Ted Conti,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/206231,camara,PSB,ES,10000
206231,2263824,2263448,Ted Conti,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/206231,camara,PSB,ES,10000
209189,2263512,2263448,Joseildo Ramos,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/209189,camara,PT,BA,10000
209189,2263453,2263453,Joseildo Ramos,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/209189,camara,PT,BA,10000
209189,2263599,2263453,Joseildo Ramos,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/209189,camara,PT,BA,10000
72442,2264051,2264051,Felipe Carreras,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/72442,camara,PSB,PE,10000
72442,2227363,2227140,Felipe Carreras,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/72442,camara,PSB,PE,10000
73531,2263496,2263463,Ivan Valente,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,camara,PSOL,SP,10000
73531,2263490,2263463,Ivan Valente,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,camara,PSOL,SP,10000
73531,2263463,2263463,Ivan Valente,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,camara,PSOL,SP,10000
73586,2201537,2192260,Júlio Delgado,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73586,camara,PSB,MG,10000
73586,2263448,2263448,Júlio Delgado,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73586,camara,PSB,MG,10000
73586,2263824,2263448,Júlio Delgado,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73586,camara,PSB,MG,10000
73604,2263599,2263453,Rui Falcão,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73604,camara,PT,SP,10000
73604,2263453,2263453,Rui Falcão,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73604,camara,PT,SP,10000
73943,2263472,2263461,Perpétua Almeida,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,camara,PCdoB,AC,10000
73943,2263512,2263448,Perpétua Almeida,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,camara,PCdoB,AC,10000
