id_principal,casa,id_documento,descricao_tipo_documento,tipo_documento_ext,id_autor,data,url_inteiro_teor,id_leggo,peso_autor_documento,casa_autor,nome_eleitoral,autores
2190563,camara,2190563,Projeto de Lei,Projeto de Lei,204530,2019-02-04T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707494,1db364484a7f086878f6889f701dc1c8,1,camara,Dep. Rodrigo Agostinho (PSB/SP),Dep. Rodrigo Agostinho (PSB/SP)
2190563,camara,2223609,Parecer do Relator,Parecer do Relator,204352,2019-10-02T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1815550,1db364484a7f086878f6889f701dc1c8,1,camara,Dep. Camilo Capiberibe (PSB/AP),Dep. Camilo Capiberibe (PSB/AP)
2190945,camara,2190945,Projeto de Lei,Projeto de Lei,178832,2019-02-05T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707305,f29ba97553271eb6c3614b3586b70a23,1,camara,Dep. Leandre (PV/PR),Dep. Leandre (PV/PR)
2191516,camara,2191516,Projeto de Lei,Projeto de Lei,204468,2019-02-08T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1708812,ba86ca0ec1b9cac47e8fc1a402f98123,1,camara,Dep. Joenia Wapichana (REDE/RR),Dep. Joenia Wapichana (REDE/RR)
2191516,camara,2222447,Requerimento de Desapensação,Requerimento de Desapensação,204468,2019-09-30T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1813641,ba86ca0ec1b9cac47e8fc1a402f98123,1,camara,Dep. Joenia Wapichana (REDE/RR),Dep. Joenia Wapichana (REDE/RR)
2191516,camara,2242315,Projeto de Lei,Projeto de Lei,204544,2020-03-30T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1871473,ba86ca0ec1b9cac47e8fc1a402f98123,1,camara,Dep. Alexandre Frota (PSL/SP),Dep. Alexandre Frota (PSL/SP)
2192045,camara,2192045,Projeto de Lei,Projeto de Lei,204530,2019-02-13T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1710592,09cf44cab51a171d95f9a8c13c8e41a1,1,camara,Dep. Rodrigo Agostinho (PSB/SP),Dep. Rodrigo Agostinho (PSB/SP)
2192045,camara,2222398,Parecer do Relator,Parecer do Relator,74052,2019-09-27T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1813420,09cf44cab51a171d95f9a8c13c8e41a1,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE)
2192045,camara,2222400,Substitutivo,Substitutivo,74052,2019-09-27T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1813420,09cf44cab51a171d95f9a8c13c8e41a1,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE)
2192045,camara,2228166,Parecer do Relator,Parecer do Relator,74052,2019-11-05T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1829971,09cf44cab51a171d95f9a8c13c8e41a1,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE)
2192045,camara,2228169,Substitutivo,Substitutivo,74052,2019-11-05T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1829971,09cf44cab51a171d95f9a8c13c8e41a1,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE)
2192045,camara,2233874,Parecer do Relator,Parecer do Relator,74052,2019-12-12T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1845701,09cf44cab51a171d95f9a8c13c8e41a1,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE)
2192045,camara,2233875,Substitutivo,Substitutivo,74052,2019-12-12T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1845701,09cf44cab51a171d95f9a8c13c8e41a1,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE)
2192260,camara,2192260,Projeto de Lei Complementar,Projeto de Lei Complementar,204479,2019-02-14T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1711139,6cc5712941a966b02388832f5fcfd261,1,camara,Dep. Nicoletti (PSL/RR),Dep. Nicoletti (PSL/RR)
2192260,camara,2201537,Projeto de Lei Complementar,Projeto de Lei Complementar,204547,2019-05-09T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,6cc5712941a966b02388832f5fcfd261,0.1111111111111111,camara,Dep. Léo Motta (PSL/MG),Dep. Léo Motta (PSL/MG)
2192260,camara,2201537,Projeto de Lei Complementar,Projeto de Lei Complementar,204539,2019-05-09T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,6cc5712941a966b02388832f5fcfd261,0.1111111111111111,camara,Dep. Hercílio Coelho Diniz (MDB/MG),Dep. Hercílio Coelho Diniz (MDB/MG)
2192260,camara,2201537,Projeto de Lei Complementar,Projeto de Lei Complementar,204508,2019-05-09T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,6cc5712941a966b02388832f5fcfd261,0.1111111111111111,camara,Dep. Igor Timo (PODE/MG),Dep. Igor Timo (PODE/MG)
2192260,camara,2201537,Projeto de Lei Complementar,Projeto de Lei Complementar,73586,2019-05-09T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,6cc5712941a966b02388832f5fcfd261,0.1111111111111111,camara,Dep. Júlio Delgado (PSB/MG),Dep. Júlio Delgado (PSB/MG)
2192260,camara,2201537,Projeto de Lei Complementar,Projeto de Lei Complementar,204515,2019-05-09T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,6cc5712941a966b02388832f5fcfd261,0.1111111111111111,camara,Dep. André Janones (AVANTE/MG),Dep. André Janones (AVANTE/MG)
2192260,camara,2201537,Projeto de Lei Complementar,Projeto de Lei Complementar,160632,2019-05-09T00:00:00Z,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,6cc5712941a966b02388832f5fcfd261,0.1111111111111111,camara,Dep. Zé Silva (SOLIDARIEDADE/MG),Dep. Zé Silva (SOLIDARIEDADE/MG)
