id_leggo,id_autor_parlametria,id_ext,casa,id_autor,nome_autor,partido,uf,tipo_autor,casa_autor,tipo_generico,sigla_local,peso_total_documentos,num_documentos,is_important,bancada,tipo_acao,governismo,peso_politico
NA,1204352,2190563,camara,204352,Camilo Capiberibe,PSB,AP,Deputado,camara,Parecer,CMADS,1,1,TRUE,oposição,Outros,-2.0397873596633147,0.190394
NA,1204530,2190563,camara,204530,Rodrigo Agostinho,PSB,SP,Deputado,camara,Prop. Original / Apensada,CMADS,1,1,TRUE,oposição,Proposição,-0.6602588199704122,0.371306
NA,1178832,2190945,camara,178832,Leandre,PV,PR,Deputado,camara,Prop. Original / Apensada,CFT,1,1,TRUE,governo,Proposição,1.7472157191099456,0.434067
NA,1204468,2191516,camara,204468,Joenia Wapichana,REDE,RR,Deputado,camara,Prop. Original / Apensada,MESA,1,1,FALSE,oposição,Proposição,-1.5636470208392428,0.393445
NA,1204468,2191516,camara,204468,Joenia Wapichana,REDE,RR,Deputado,camara,Requerimento,NAJUR(SGM),1,1,FALSE,oposição,Proposição,-1.5636470208392428,0.393445
NA,1204544,2191516,camara,204544,Alexandre Frota,PSDB,SP,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição,1.9223966090740259,0
NA,174052,2192045,camara,74052,Bosco Costa,PL,SE,Deputado,camara,Parecer,CAPADR,6,6,TRUE,governo,Outros,6.2446576510032585,0.125828
NA,1204530,2192045,camara,204530,Rodrigo Agostinho,PSB,SP,Deputado,camara,Prop. Original / Apensada,CAPADR,1,1,TRUE,oposição,Proposição,-0.6602588199704122,0.371306
NA,1160632,2192260,camara,160632,Zé Silva,SOLIDARIEDADE,MG,Deputado,camara,Requerimento,PLEN,1,1,TRUE,governo,Proposição,3.8459001922670453,0.146128
NA,1178939,2192260,camara,178939,Clarissa Garotinho,PROS,RJ,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição,1.198070253409952,0.189546
NA,1204479,2192260,camara,204479,Nicoletti,PSL,RR,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição,5.555835744136754,0
NA,173586,2192260,camara,73586,Júlio Delgado,PSB,MG,Deputado,camara,Prop. Original / Apensada,CCP,0.1111111111111111,1,FALSE,oposição,Proposição,-0.6969136532060869,0.149695
NA,1160556,2192260,camara,160556,Padre João,PT,MG,Deputado,camara,Prop. Original / Apensada,CCP,0.1111111111111111,1,FALSE,oposição,Proposição,-5.993871778935102,0.206952
NA,1160632,2192260,camara,160632,Zé Silva,SOLIDARIEDADE,MG,Deputado,camara,Prop. Original / Apensada,CCP,0.1111111111111111,1,FALSE,governo,Proposição,3.8459001922670453,0.146128
