id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar,governismo,assinadas,autorias_ponderadas
178939,1178939,camara,Clarissa Garotinho,F,PROS,RJ,Titular,1,1,1.198070253409952,0,0
178916,1178916,camara,Daniel Coelho,M,CIDADANIA,PE,Titular,1,1,2.636208306916142,0,0
178908,1178908,camara,Delegado Éder Mauro,M,PSD,PA,Titular,1,1,6.664844431197842,0,0
178929,1178929,camara,Diego Garcia,M,PODE,PR,Titular,1,1,4.619039192782431,0,0
178994,1178994,camara,Dulce Miranda,F,MDB,TO,Titular,1,1,3.98497550517982,0,0
134812,1134812,camara,Edmilson Rodrigues,M,PSOL,PA,Titular,1,1,-6.475673383390708,9,1.7705938697318009
92346,192346,camara,Eduardo Bolsonaro,M,PSL,SP,Titular,1,1,8.221551524489811,0,0
178977,1178977,camara,Eduardo Cury,M,PSDB,SP,Titular,1,1,4.0951500259351334,0,0
178854,1178854,camara,Elmar Nascimento,M,DEM,BA,Titular,1,1,4.319673241738407,0,0
132504,1132504,camara,Enio Verri,M,PT,PR,Titular,1,1,-5.737492048680034,7,0.5681347003608667
178871,1178871,camara,Evair Vieira De Melo,M,PP,ES,Titular,1,1,6.322884189488789,0,0
178930,1178930,camara,Roman,M,PATRIOTA,PR,Suplente,1,1,4.866709607105557,0,0
178953,1178953,camara,Expedito Netto,M,PSD,RO,Titular,1,1,2.1562233898470353,0,0
178969,1178969,camara,Fábio Mitidieri,M,PSD,SE,Titular,1,1,2.052057534784712,0,0
66828,166828,camara,Fausto Pinato,M,PP,SP,Titular,1,1,4.2382997344220215,0,0
72442,172442,camara,Felipe Carreras,M,PSB,PE,Titular,1,1,0.716365571124463,1,1
92699,192699,camara,Fernando Monteiro,M,PP,PE,Titular,1,1,4.104744053310283,0,0
191923,1191923,camara,Flávio Nogueira,M,PDT,PI,Titular,1,1,2.3167072708438674,0,0
178966,1178966,camara,Geovania De Sá,F,PSDB,SC,Titular,1,1,3.922938138107966,0,0
178996,1178996,camara,Giovani Feltes,M,MDB,RS,Titular,1,1,4.922196077473082,0,0
178964,1178964,camara,Heitor Schuch,M,PSB,RS,Titular,1,1,-1.3279959082897648,2,0.10263157894736842
178873,1178873,camara,Helder Salomão,M,PT,ES,Titular,1,1,-6.577583260650009,5,2.078995078995079
178909,1178909,camara,Hélio Leite,M,DEM,PA,Titular,1,1,4.407595833197517,0,0
178981,1178981,camara,Herculano Passos,M,MDB,SP,Titular,1,1,5.017765995294738,0,0
178884,1178884,camara,Hildo Rocha,M,MDB,MA,Titular,1,1,4.0278490305007395,0,0
178959,1178959,camara,Hiran Gonçalves,M,PP,RR,Titular,1,1,4.678355765121744,0,0
178839,1178839,camara,Jéssica Sales,F,MDB,AC,Titular,1,1,3.678943850739582,0,0
178842,1178842,camara,Jhc,M,PSB,AL,Titular,1,1,0.28328345753358164,0,0
178970,1178970,camara,João Daniel,M,PT,SE,Titular,1,1,-4.6726245652190945,10,1.9265090845973198
112437,1112437,camara,João Marcelo Souza,M,MDB,MA,Titular,1,1,5.440207423004582,0,0
178910,1178910,camara,Joaquim Passarinho,M,PSD,PA,Titular,1,1,5.392772360764022,0,0
178857,1178857,camara,Jorge Solla,M,PT,BA,Titular,1,1,-5.766272060665814,4,0.24310746724539828
178886,1178886,camara,Juscelino Filho,M,DEM,MA,Titular,1,1,4.304150677774768,0,0
178832,1178832,camara,Leandre,F,PV,PR,Titular,1,1,1.7472157191099456,1,0.5
196358,1196358,camara,Lourival Gomes,M,PSL,RJ,Titular,1,1,4.494081327333788,0,0
178879,1178879,camara,Lucas Vergilio,M,SOLIDARIEDADE,GO,Titular,1,1,4.415140940454496,0,0
178931,1178931,camara,Luciano Ducci,M,PSB,PR,Titular,1,1,-0.04383201046088736,0,0
178954,1178954,camara,Lucio Mosquini,M,MDB,RO,Titular,1,1,3.7978700391177345,0,0
178866,1178866,camara,Luizianne Lins,F,PT,CE,Titular,1,1,-4.283959740056849,2,0.04195804195804196
146788,1146788,camara,Marcelo Aro,M,PP,MG,Titular,1,1,7.435211820038546,0,0
178983,1178983,camara,Marcio Alvino,M,PL,SP,Titular,1,1,5.919440913198821,0,0
179001,1179001,camara,Márcio Biolchi,M,MDB,RS,Titular,1,1,5.323603944520842,0,0
178956,1178956,camara,Mariana Carvalho,F,PSDB,RO,Titular,1,1,3.7719159198988237,0,0
