Ambientalistmo orienta SIM/NÃO/LIBERADO,id_proposicao,id_votacao,nome_proposicao,ementa_proposicao,obj_votacao,votacao_secreta,resumo,tema,cod_sessao,hora,data,data_apresentacao_proposicao,autor,uri_tramitacao
,145079,6259,MSF 57/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 6° da Lei Complementar nº 80, de 12 de Janeiro de 1994, o nome do Senhor DANIEL DE MACEDO ALVES PEREIRA, Defensor Público Federal, no Estado do Rio de Janeiro, para exercer o cargo de Defensor Público-Geral Federal, na vaga decorrente do término do mandato do Senhor Gabriel Faria Oliveira.","Votação da Mensagem nº 57, de 2020 - Daniel de Macedo Alves Pereira (Defensor Público-Geral Federal) - Submete à apreciação do Senado Federal o nome do Senhor Daniel de Macedo Alves Pereira, Defensor Público Federal, no Estado do Rio de Janeiro, para exercer o cargo de Defensor Público-Geral Federal, na vaga decorrente do término do mandato do Senhor Gabriel Faria Oliveira.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145079/votacoes#votacao_6259,Nao especificado,,,2020-12-15,2020-10-07,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/145079
,145685,6260,MSF 77/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome da Senhora MARIA-THERESA LAZARO, Ministra de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixadora do Brasil na República da Tunísia.","Votação da Mensagem nº 77, de 2020 - Maria-Theresa Lazaro (Tunísia) - Submete à apreciação do Senado Federal o nome da Senhora Maria-Theresa Lazaro, Ministra de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixadora do Brasil na República da Tunísia.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145685/votacoes#votacao_6260,Nao especificado,,,2020-12-15,2020-12-03,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/145685
,145686,6261,MSF 78/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome da Senhora LIGIA MARIA SCHERER,  Ministra de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixadora do Brasil no Sultanato de Omã.","Votação da Mensagem nº 78, de 2020 - Ligia Maria Scherer (Omã) - Submete à apreciação do Senado Federal o nome da Senhora Ligia Maria Scherer, Ministra de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixadora do Brasil no Sultanato de Omã.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145686/votacoes#votacao_6261,Nao especificado,,,2020-12-15,2020-12-03,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/145686
,145851,6262,MSF 91/2020,"Submete à consideração do Senado Federal, nos termos do art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 23 da Lei nº 9.472, de 1997, a escolha do Senhor VICENTE BANDEIRA DE AQUINO NETO, para ser reconduzido ao cargo de Membro do Conselho Diretor da Agência Nacional de Telecomunicações - ANATEL.","Votação da Mensagem nº 91, de 2020 - Vicente Bandeira de Aquino Neto (ANATEL)- Submete à consideração do Senado Federal a escolha do Senhor Vicente Bandeira de Aquino Neto, para ser reconduzido ao cargo de Membro do Conselho Diretor da Agência Nacional de Telecomunicações - ANATEL.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145851/votacoes#votacao_6262,Nao especificado,,,2020-12-15,2020-12-11,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/145851
,145689,6263,MSF 81/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o parágrafo único do art. 41 da Lei nº 11.440, de 2006, o nome do Senhor FABIO MENDES MARZANO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Delegado Permanente do Brasil em Genebra.","Votação da Mensagem nº 81, de 2020 (nº 585/2020 na origem) pela qual a Presidência da República submete à apreciação do Senado Federal o nome do Senhor Fabio Mendes Marzano, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Delegado Permanente do Brasil em Genebra.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145689/votacoes#votacao_6263,Nao especificado,,,2020-12-15,2020-12-03,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/145689
,140419,6264,RQS 1/2020,"Voto de aplauso ao ex-Senador e imortal da Academia Paraibana de Letras, Roberto Cavalcanti.","Votação do Requerimento de Retirada de Pauta do PL nº 2.963, de 2019.",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/140419/votacoes#votacao_6264,Nao especificado,,,2020-12-15,2019-12-17,Daniella Ribeiro PP / PB,https://www25.senado.leg.br/web/atividade/materias/-/materia/140419
,146009,6265,PLP 101/2020,"Estabelece o Programa de Acompanhamento e Transparência Fiscal, o Plano de Promoção do Equilíbrio Fiscal, altera a Lei Complementar nº 101, de 4 de maio de 2000, a Lei Complementar nº 156, de 28 de dezembro de 2016, a Lei Complementar nº 159, de 19 de maio de 2017, a Lei nº 9.496, de 11 de setembro de 1997, a Lei nº 12.348, de 15 de dezembro de 2010, a Lei nº 12.649, de 17 de maio de 2012 e a Medida Provisória nº 2.185-35, de 24 de agosto de 2001, e dá outras providências.","Votação do Projeto de Lei Complementar nº 101, de 2020, que estabelece o Programa de Acompanhamento e Transparência Fiscal e o Plano de Promoção do Equilíbrio Fiscal.",0,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/146009/votacoes#votacao_6265,Nao especificado,,,2020-12-15,2020-12-15,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/146009
,145688,6266,MSF 80/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome do Senhor EDUARDO PRISCO PARAISO RAMOS, Ministro de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República da Eslovênia.","Votação da Mensagem nº 80, de 2020 - Eduardo Prisco Paraiso Ramos (Eslovênia). Submete à apreciação do Senado Federal o nome do Senhor Eduardo Prisco Paraiso Ramos, Ministro de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República da Eslovênia.",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145688/votacoes#votacao_6266,Nao especificado,,,2020-12-16,2020-12-03,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/145688
,145687,6267,MSF 79/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome do Senhor SILVIO JOSÉ ALBUQUERQUE E SILVA, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República do Quênia e, cumulativamente, na República de Ruanda, na República de Uganda, na República do Burundi e na República Federal da Somália.","(Submete à apreciação do Senado Federal o nome do Senhor Silvio José Albuquerque e Silva, Ministro de Primeira Classe da Carreira de Diplomata do MRE, para exercer o cargo de Embaixador do Brasil na República do Quênia e, cumulativamente, em Ruanda, Uganda, Burundi e Somália.)",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145687/votacoes#votacao_6267,Nao especificado,,,2020-12-16,2020-12-03,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/145687
,145690,6268,MSF 82/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome do Senhor ENIO CORDEIRO, Ministro de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil no Reino da Noruega e, cumulativamente, na Islândia.","(Submete à apreciação do Senado Federal o nome do Senhor Enio Cordeiro, Ministro de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil no Reino da Noruega e, cumulativamente, na Islândia.)",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145690/votacoes#votacao_6268,Nao especificado,,,2020-12-16,2020-12-03,Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/145690
,145651,6269,OFS 6/2020,"Indicação do nome do Sr. LUIZ FERNANDO BANDEIRA DE MELLO FILHO para compor o Conselho Nacional de Justiça - CNJ, na vaga destinada ao Senado Federal.","Votação do Ofício ´´S`` nº 6, de 2020 - Luiz Fernando Bandeira de Mello Filho (CNJ) - (Indicação do nome do Sr. Luiz Fernando Bandeira de Mello Filho para compor o Conselho Nacional de Justiça - CNJ, na vaga destinada ao Senado Federal.)",1,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/145651/votacoes#votacao_6269,Nao especificado,,,2020-12-16,2020-12-03,Davi Alcolumbre DEM / AP e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/145651
