Proposições;Ementa;Classificação Bruno;Autor;UF;Partido;Apresentação;Situação;Link;Norma Atacada;Norma atacada foi emitida no Governo Bolsonaro?;Norma parcial ou integralmente atacada;Dispositivos atacados (para parciais);Dentro do escopo do relatório?;;;;;;;;;;;;
PDL 202/2020;Torna-se sem efeitos a Portaria nº 294, de 30 de abril de 2020, da Agência Nacional de Mineração, que “dispõe sobre a delegação de competência da Diretoria Colegiada ao Superintendente de Pesquisa e Recursos Minerais, ao Superintendente de Produção Mineral e ao Superintendente de Regulação e Governança Regulatória da Agência Nacional de Mineração -ANM, e dá outras providências”.;Mineração;Greyce Elias;MG;AVANTE;05/11/2020;Aguardando Autorização do Despacho;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252052;Portaria nº 294, de 30 de abril de 2020, da Agência Nacional de Mineração;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 366/2020;"""Susta o Decreto nº 10.451/2020.""";Meio Ambiente;Alessandro Molon;RJ;PSB;08/11/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259826;Decreto nº 10.451/2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 398/2020;"Susta a Resolução nº 126, de 10 de junho de 2020, do Conselho do Programa de Parcerias de Investimentos (CPPI), que trata da criação da Política de Apoio ao Licenciamento Ambiental de Projetos de Investimentos para a Produção de Minerais Estratégicos - ""Pró-Minerais Estratégicos"".";Mineração;Alessandro Molon;RJ;PSB;09/11/2020;Aguardando Autorização Devolução. Será apensado ao PDL 361/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2262788;Resolução nº 126, de 10 de junho de 2020, do Conselho do Programa de Parcerias de Investimentos (CPPI);Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 48/2020;Susta a aplicação do artigo 4º do Decreto 10.239, de 12 de fevereiro de 2020, que dispõe sobre o Conselho Nacional da Amazônia Legal.;Amazônia;Célio Studart;CE;PV;02/12/2020;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2237205;Decreto nº 10.239, de 12 de fevereiro de 2020;Sim;Parcial;Art. 4º;Sim;;;;;;;;;;;;
PDL 208/2020;"""Susta efeitos do Decreto 10.341, que Autoriza o emprego das Forças Armadas na Garantia da Lei e da Ordem e em ações subsidiárias na faixa de fronteira, nas terras indígenas, nas unidades federais de conservação ambiental e em outras áreas federais nos Estados da Amazônia Legal.""";Indígenas;Alessandro Molon;RJ;PSB;05/12/2020;Tramitando em Conjunto - Apensado ao PDL 206/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252159;Decreto nº 10.341;Sim;Parcial;Art. 4º;Sim;;;;;;;;;;;;
PDL 525/2020;Susta, nos termos do inciso V do art. 49 da Constituição Federal, os efeitos da Portaria Conjunta nº 1, de 2 de dezembro de 2020, do Ministério da Agricultura, Pecuária e Abastecimento.;Agropecuária;Senador Fabiano Contarato ;ES;REDE;07/12/2020;07/12/2020 - Secretaria de Atas e Diários;https://www25.senado.leg.br/web/atividade/materias/-/materia/145734;Portaria Conjunta nº 1, de 2 de dezembro de 2020, do Ministério da Agricultura, Pecuária e Abastecimento.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 310/2020;Susta a aplicação da Resolução - RDC nº 177, de 21 de setembro de 2017, da Agência Nacional de Vigilância Sanitária - ANVISA.;Agropecuária;Luiz Nishimori;PR;PL;30/06/2020;Aguardando Autorização do Despacho;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2256399;Resolução - RDC nº 177, de 21 de setembro de 2017, da Agência Nacional de Vigilância Sanitária - ANVISA.;Não;Integral;N/A;Não;;;;;;;;;;;;
PDL 51/2020;Susta, nos termos do art. 49, V, da Constituição  Federal, o Decreto nº 10.239, de 11 de fevereiro de 2020, que dispõe sobre o Conselho Nacional da Amazônia - conamaZ.;Meio Ambiente;"José Ricardo;Airton Faleiro";"AM;PA";"PT;PT";13/02/2020;Tramitando em Conjunto - Apensado ao PDL 48/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2237358;Decreto nº 10.239, de 11 de fevereiro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 370/2020;Susta os efeitos da RESOLUÇÃO Nº 494, DE 11 DE AGOSTO DE 2020 - Estabelece, em caráter excepcional e temporário, nos casos de licenciamento ambiental, a possibilidade de realização de audiência pública de forma remota, por meio da Rede Mundial de Computadores, durante o período da pandemia do Novo Coronavírus (COVID-19).;Meio Ambiente;"Padre João;João Daniel;Beto Faro;Valmir Assunção;Pedro Uczai;Paulo Teixeira;Patrus Ananias;Helder Salomão;Frei Anastacio Ribeiro;Gleisi Hoffmann;Nilto Tatto;Célio Moura;Afonso Florence;Enio Verri;Leonardo Monteiro;Alencar Santana Braga;Professora Rosa Neide;Alexandre Padilha;Vander Loubet;Erika Kokay;Maria do Rosário;Vicentinho;José Guimarães;Marcon;Rogério Correia;Zé Carlos;Carlos Veras";"MG;SE;PA;BA;SC;SP;MG;ES;PB;PR;SP;TO;BA;PR;MG;SP;MT;SP;MS;DF;RS;SP;CE;RS;MG;MA;PE";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";13/08/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2260423;RESOLUÇÃO Nº 494, DE 11 DE AGOSTO DE 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 260/2019;"Susta a aplicação do Decreto n° 9.784, de 07 de maio de 2019"", que ""Declara a revogação, para fins do disposto no art. 16 da Lei Complementar nº 95, de 26 de fevereiro de 1998, e no art. 9º do Decreto nº 9.759, de 11 de abril de 2019, de decretos normativos"".";Meio Ambiente;Airton Faleiro;PA;PT;14/05/2019;Apensado ao PDL 229/2019;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2202983;Decreto n° 9.784, de 07 de maio de 2019;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 225/2020;Susta os efeitos do Decreto nº 10.347, de 13 de maio de 2020, da Presidência da República, que dispõe sobre as competências para a concessão de florestas públicas, em âmbito federal.;Meio Ambiente;"Fernanda Melchionna;Talíria Petrone;Ivan Valente;Glauber Braga;David Miranda;Marcelo Freixo;Sâmia Bomfim;Edmilson Rodrigues;Luiza Erundina;Áurea Carolina";"RS;RJ;SP;RJ;RJ;RJ;SP;PA;SP;MG";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";14/05/2020;Tramitando em Conjunto - Apensado ao PDL 220/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252799;Decreto no 10.347, de 13 de maio de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 220/2020;Susta os efeitos do Decreto nº 10.347, de 13 de maio de 2020, da Presidência da República, que dispõe sobre as competências para a concessão de florestas públicas, em âmbito federal.;Meio Ambiente;"Alessandro Molon;Bira do Pindaré;Marcelo Nilo;Camilo Capiberibe;Heitor Schuch;Gonzaga Patriota;Tadeu Alencar;Vilson da Fetaemg;Denis Bezerra;Júlio Delgado;Danilo Cabral;Mauro Nazif;Lídice da Mata;João H. Campos;Gervásio Maia;Rafael Motta;Elias Vaz;Ted Conti;Aliel Machado;Rodrigo Agostinho";"RJ;MA;BA;AP;RS;PE;PE;MG;CE;MG;PE;RO;BA;PE;PB;RN;GO;ES;PR;SP";"PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB";14/05/2020;Aguardando Autorização do Despacho;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252619;Decreto no 10.347, de 13 de maio de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 130/2019;"""Susta o Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações. """;Meio Ambiente;Nilto Tatto;SP;PT;15/04/2019;Tramitando em Conjunto - Apensado ao PDL 114/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2198142;Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 133/2019;"Susta os efeitos do Decreto nº 9.760, de 11 de abril de 2019, que ""Altera o Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações"".";Meio Ambiente;José Guimarães;CE;PT;15/04/2019;Tramitando em Conjunto - Apensado ao PDL 114/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2198168;Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 124/2019;Susta os efeitos do Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações.;Meio Ambiente;"Ivan Valente;Fernanda Melchionna;Áurea Carolina;Edmilson Rodrigues;Luiza Erundina;Glauber Braga;Marcelo Freixo;Talíria Petrone";"SP;RS;MG;PA;SP;RJ;RJ;RJ";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";15/04/2019;Tramitando em Conjunto - Apensado ao PDL 114/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2198087;Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 117/2019;Susta, nos termos do art. 49, V, da Constituição, a aplicação do Decreto nº 9.760, de 11 de abril de 2019.;Meio Ambiente;Helder Salomão;ES;PT;15/04/2019;Tramitando em Conjunto - Apensado ao PDL 114/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2197974;Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 228/2020;Susta, nos termos do art. 49, V, da Constituição Federal, o Decreto nº 10.347, de 13 de maio de 2020, da Presidência da República.;Meio Ambiente;"Nilto Tatto;Enio Verri;João Daniel";"SP;PR;SE";"PT;PT;PT";18/05/2020;Tramitando em Conjunto - Apensado ao PDL 220/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252883;Decreto no 10.347, de 13 de maio de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 61/2020;"Susta o Decreto nº 10.239, de 2020, que ""dispõe sobre o Conselho Nacional da Amazônia Legal"".";Amazônia;José Guimarães;CE;PT;19/02/2020;Tramitando em Conjunto - Apensado ao PDL 48/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2237825;Decreto nº 10.239, de 11 de fevereiro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 235/2020;Susta os efeitos do Decreto no 10.347, de 13 de maio de 2020, da Presidência da República, que dispõe sobre as competências para a concessão de florestas públicas, em âmbito federal.;Meio Ambiente;Joenia Wapichana;RR;REDE;20/05/2020;Tramitando em Conjunto - Apensado ao PDL 220/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2253313;Decreto no 10.347, de 13 de maio de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 281/2019;Susta a aplicação dos dispositivos do Inciso XXVII, do Art. 1° e do Inciso XXXVI, do Artigo Único, do Decreto n° 9.784, de 07 de maio de 2019, revoga o Comitê Gestor do Plano de Desenvolvimento Regional Sustentável do Xingu.;Meio Ambiente;Airton Faleiro;PA;PT;21/05/2019;Tramitando em Conjunto - Apensado ao PDL 229/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2203903;Decreto n° 9.784, de 07 de maio de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008;Sim;Parcial;Inciso XXVII, do Art. 1° e Inciso XXXVI, do Artigo Único;Sim;;;;;;;;;;;;
PDL 452/2020;Susta, nos termos do inciso V do art. 49 da Constituição Federal, os efeitos da Resolução nº 499, de 6 de outubro, e da Resolução nº 500, de 21 de outubro, ambas de 2020, do Conselho Nacional do Meio Ambiente – CONAMA.;Meio Ambiente;Senador Fabiano Contarato e Senadora Mara Gabrili;"ES; SP";"REDE; PSDB";21/10/2020;21/10/2020 - Secretaria de Atas e Diários;https://www25.senado.leg.br/web/atividade/materias/-/materia/145213;Resolução nº 499, de 6 de outubro, e da Resolução nº 500, de 21 de outubro, ambas de 2020, do Conselho Nacional do Meio Ambiente – CONAMA.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 92/2020;Susta, nos termos do art. 49, V, da Constituição Federal, o art. 4º da Portaria nº 419/PRES/FUNAI de 17 de Março de 2020, que estabelece medidas temporárias de prevenção à infecção e propagação do novo Coronavírus (COVID-19) no âmbito da FUNAI.;Indígenas;"José Ricardo;Airton Faleiro";"AM;PA";"PT;PT";23/03/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2241699;Portaria nº 419/PRES/FUNAI de 17 de Março de 2020;Sim;Parcial;Art. 4º;Sim;;;;;;;;;;;;
PDL 294/2019;"Susta os efeitos da Portaria ibama n° 1.135, de 3 de abril de 2019, que ""Delega competência aos Diretores de Proteção Ambiental, de Uso Sustentável da Biodiversidade e Florestas, e de Planejamento, Administração e Logística deste Instituto, para os fins que especifica e dá outras providências.""";Meio Ambiente;Erika Kokay;DF;PT;23/05/2019;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2204564;Portaria Ibama n° 1.135, de 3 de abril de 2019;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 408/2020;Susta a Resolução nº 46, de 8 de setembro de 2020, da Agência Nacional de Mineração.;Mineração;Nilto Tatto;SP;PT;24/09/2020;Aguardando Autorização do Despacho;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263378;Resolução nº 46, de 8 de setembro de 2020, da Agência Nacional de Mineração,  que altera o art. 1o da Resolução no 28, de 24 de março de 2020,;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 641/2019;Susta os efeitos da redação dada ao § 4º do artigo 41 da Portaria ibama nº 24, de 16 de agosto de 2016, pelo art. 1º da Portaria nº 3.326, de 12 de setembro de 2019, que altera o Regulamento Interno de Fiscalização Ambiental. ;Meio Ambiente;Ivan Valente;SP;PSOL;25/09/2019;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2221765;Portaria ibama nº 24, de 16 de agosto de 2016, alterada pela Portaria nº 3.326, de 12 de setembro de 2019 (Regulamento Interno de Fiscalização Ambiental);Sim;Parcial;§ 4º do artigo 41;Sim;;;;;;;;;;;;
PDL 166/2020;Susta os efeitos da Instrução Normativa n° 9, de 16 de abril de 2020, da Fundação Nacional do Índio - FUNAI;Indígenas;Alessandro Molon;RJ;PSB;27/04/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250646;Instrução Normativa n° 9, de 16 de abril de 2020, da Fundação Nacional do Índio - FUNAI;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 171/2020;Susta, nos termos do art. 49, V, da Constituição Federal, a Instrução Normativa nº 09/PRES/FUNAI de 22 de abril de 2020, que disciplina o requerimento, análise e emissão da Declaração de Reconhecimento de Limites em relação a imóveis privados.;Indígenas;José Ricardo;AM;PT;27/04/2020;Aguardando Autorização Devolução. Será apensado ao PDL 166/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250702;Instrução Normativa n° 9, de 16 de abril de 2020, da Fundação Nacional do Índio - FUNAI;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 247/2020;Susta os efeitos da Instrução Normativa nº 9, de 16 de abril de 2020 do Presidente da Fundação Nacional do Índio.;Indígenas;"Nilto Tatto;Professora Rosa Neide;Célio Moura;Marcon;Patrus Ananias;Valmir Assunção;João Daniel";"SP;MT;TO;RS;MG;BA;SE";"PT;PT;PT;PT;PT;PT;PT";28/05/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2254012;Instrução Normativa n° 9, de 16 de abril de 2020, da Fundação Nacional do Índio - FUNAI;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 382/2020;Susta os efeitos da Resolução N0. 24 de 03 de fevereiro de 2020 da Agência Nacional de Mineração, que Regulamenta o procedimento de disponibilidade de que tratam os artigos 26, 32 e 65, § 1º do Decreto-Lei nº 227, de 28 de fevereiro de 1967, e o art. 2º, inciso VII, da Lei nº 13.575, de 26 de dezembro de 2017 e do art. 46 do Decreto nº 9.406 de 12 de junho de 2018.;Mineração;Ricardo Izar;SP;PP;28/08/2020;Aguardando Encaminhamento;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2261195;Resolução N0. 24 de 03 de fevereiro de 2020 da Agência Nacional de Mineração;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 417/2020;Susta as decisões da Reunião Ordinária n°135 do Conselho Nacional do Meio Ambiente (conama) que revogaram as resoluções nº 264, nº 284, nº 302 e nº 303, que dispõem sobre o licenciamento ambiental para atividades de irrigação e a ocupação de Áreas de Preservação Permanente (APPs) de manguezais e restingas, e institui nova Resolução que permite a incineração de resíduos perigosos.;Meio Ambiente;"Sâmia Bomfim;Marcelo Freixo;Luiza Erundina;Edmilson Rodrigues;David Miranda;Ivan Valente;Talíria Petrone;Fernanda Melchionna;Áurea Carolina;Glauber Braga";"SP;RJ;SP;PA;RJ;SP;RJ;RS;MG;RJ";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";28/09/2020;Aguardando Autorização do Despacho. Será apensado ao PDL 414/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263463;Decisões da Reunião Ordinária n° 135 do Conselho Nacional do Meio Ambiente (conama), que alterou a Resolução conama n.º 264/1999, e revogou as Resoluções conama n.ºs 284/2001, 302/2002 e 303/2002.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 25/2019;Exclui da Área Indígena WAIMIRIATROARI o leito da BR 174, no Estado de Roraima.;Indígenas;Senador Mecias de Jesus;RR;PRB;11/02/2019;N/A;https://www25.senado.leg.br/web/atividade/materias/-/materia/135165;Não é um Decreto que susta nenhum ato do governo - sem norma atacada;Não;N/A;N/A;Não;;;;;;;;;;;;
PDL 28/2019;Exclui da Terra Indígena São Marcos a área urbana da sede do Município de Pacaraima, no Estado de Roraima.;Indígenas;Senador Mecias de Jesus ;RR;PRB;11/02/2019;N/A;https://www25.senado.leg.br/web/atividade/materias/-/materia/135175;Não é um Decreto que susta nenhum ato do governo - sem norma atacada;Não;N/A;N/A;Não;;;;;;;;;;;;
PDL 414/2020;Susta a Resolução conama, do Conselho Nacional do Meio Ambiente, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002.;Meio Ambiente;"Alessandro Molon;Túlio Gadêlha;Vilson da Fetaemg;João H. Campos;Tadeu Alencar;Júlio Delgado;Rafael Motta;Camilo Capiberibe;Ted Conti;Aliel Machado;Marcelo Nilo;Gervásio Maia;Heitor Schuch;Bira do Pindaré;Danilo Cabral;Rodrigo Agostinho;Lídice da Mata;Elias Vaz;Denis Bezerra";"RJ;PE;MG;PE;PE;MG;RN;AP;ES;PR;BA;PB;RS;MA;PE;SP;BA;GO;CE";"PSB;PDT;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB;PSB";28/09/2020;Aguardando Autorização do Despacho;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263448;Resolução no 500, de 29 de setembro de 2020, do Conselho Nacional do Meio Ambiente – CONAMA, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 415/2020;Susta a Resolução conama, do Conselho Nacional do Meio Ambiente, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002.;Meio Ambiente;"José Guimarães;Jandira Feghali;Enio Verri;João H. Campos;Marcelo Freixo;Paulo Teixeira;Túlio Gadêlha;Carlos Veras;Afonso Florence;Beto Faro;Maria do Rosário;Waldenor Pereira;Bohn Gass;Alexandre Padilha;Rogério Correia;Airton Faleiro;Helder Salomão;Patrus Ananias;Marcon;Nilto Tatto;Natália Bonavides;Marília Arraes;Vicentinho;Célio Moura;Margarida Salomão;João Daniel;Rui Falcão;Luizianne Lins;Professora Rosa Neide;Pedro Uczai;Frei Anastacio Ribeiro;Vander Loubet;Paulão;Leonardo Monteiro;Gleisi Hoffmann;Valmir Assunção;Paulo Guedes;Padre João;Merlong Solano;Alencar Santana Braga;Rubens Otoni;Erika Kokay;Joseildo Ramos;Jorge Solla";"CE;RJ;PR;PE;RJ;SP;PE;PE;BA;PA;RS;BA;RS;SP;MG;PA;ES;MG;RS;SP;RN;PE;SP;TO;MG;SE;SP;CE;MT;SC;PB;MS;AL;MG;PR;BA;MG;MG;PI;SP;GO;DF;BA;BA";"PT;PCdoB;PT;PSB;PSOL;PT;PDT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";28/09/2020;Aguardando Autorização do Despacho. Será apensado ao PDL 414/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263453;Resolução no 500, de 29 de setembro de 2020, do Conselho Nacional do Meio Ambiente – CONAMA, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 416/2020;Susta os efeitos da Resolução nº 500 do Conselho Nacional do Meio Ambiente – conama, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002.;Meio Ambiente;"Jandira Feghali;Alice Portugal;Perpétua Almeida";"RJ;BA;AC";"PCdoB;PCdoB;PCdoB";28/09/2020;Aguardando Autorização do Despacho. Será apensado ao PDL 414/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263461;Resolução nº 500 do Conselho Nacional do Meio Ambiente – conama, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 345/2019;Susta a aplicação do Decreto nº 9.806, de 28 de maio de 2019, que altera o Decreto nº 99.274, de 6 de junho de 1990, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - conama.;Meio Ambiente;Rodrigo Agostinho;SP;PSB;29/05/2019;Tramitando em Conjunto - Apensado ao PDL 340/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2205541;Decreto nº 9.806, de 28 de maio de 2019 que altera o Decreto nº 99.274, de 6 de junho de 1990;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 341/2019;Susta o Decreto nº 9.806, de 28 de maio de 2019, que altera o Decreto nº 99.274, de 6 de junho de 1990, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - conama.;Meio Ambiente;Célio Studart;CE;PV;29/05/2019;Tramitando em Conjunto - Apensado ao PDL 340/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2205479;Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 342/2019;"Susta os efeitos da aplicação do Decreto nº 9.806, de 28 de maio de 2019, que ""Altera o Decreto nº 99.274, de 6 de junho de 1990, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - conama"".";Meio Ambiente;Alessandro Molon;RJ;PSB;29/05/2019;Tramitando em Conjunto - Apensado ao PDL 340/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2205373;Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 340/2019;Susta os efeitos do Decreto nº 9.806, de 28 de maio de 2019, que altera o Decreto nº 99.274, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - conama.;Meio Ambiente;Ivan Valente;SP;PSOL;29/05/2019;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2205388;Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 107/2020;Susta os efeitos do Decreto do Presidente da República, de 19 de abril de 2007, sem número, que homologa a demarcação administrativa da Terra Indígena Apyterewa, localizada no Município de São Félix do Xingu, no Estado do Pará, estabelecendo os seus reais limites.;Indígenas;Senador Zequinha Marinho ;PA;PSC;27/03/2020;18/03/2020 - Secretaria de Atas e Diários;https://www25.senado.leg.br/web/atividade/materias/-/materia/141227;Decreto do Presidente da República, de 19 de abril de 2007, sem número;Não;Integral;N/A;Não;;;;;;;;;;;;
PDL 362/2019;Susta, nos termos do art. 49, V, da Constituição Federal, o Decreto nº 9.806, de 28 de maio de 2019, do Poder Executivo, que altera o Decreto nº 99.274, de 6 de junho de 1990, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - conama.;Meio Ambiente;"Leonardo Monteiro;Paulo Pimenta;Nilto Tatto";"MG;RS;SP";"PT;PT;PT";30/05/2019;Tramitando em Conjunto - Apensado ao PDL 340/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2205833;Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 353/2019;Susta, nos termos do art. 49, V, da Constituição, o Decreto nº 9.806, de 28 de maio de 2019.;Meio Ambiente;Jandira Feghali;RJ;PCdoB;30/05/2019;Tramitando em Conjunto - Apensado ao PDL 340/2019;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2205754;Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 419/2020;Susta os efeitos da portaria nº 354 de 28 de setembro de 2020, que aprova o Programa Mineração e Desenvolvimento - PMD e Designa a Secretaria de Geologia, Mineração e Transformação Mineral - SGM/MME como coordenadora da observância no cumprimento e no acompanhamento do Programa Mineração e Desenvolvimento - PMD.;Mineração;José Guimarães;CE;PT;30/09/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263588;Portaria nº 354 de 28 de setembro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
