Proposições;Ementa;Classificação Bruno;Autor;UF;Partido;Apresentação;Situação;Link;Norma Atacada;Norma atacada foi emitida no Governo Bolsonaro?;Norma parcial ou integralmente atacada;Dispositivos atacados (para parciais);Dentro do escopo do relatório?;;;;;;;;;;;;
PDL 432/2020;Susta os efeitos da Portaria nº 524, de 1º de outubro de 2020, que institui, no âmbito do Ministério do Meio Ambiente e entidades vinculadas, grupo de trabalho para análise de sinergias e ganhos de eficiência em caso de fusão entre o Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - ibama e o Instituto Chico Mendes de Conservação da Biodiversidade - Instituto Chico Mendes.;Meio Ambiente;André Figueiredo;CE;PDT;10/02/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263735;Portaria nº 524, de 1º de outubro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 37/2020;Susta o Decreto nº 10.224, de 5 de fevereiro de 2020, que revoga o Decreto nº 3.524, de 26 de junho de 2000 e o Decreto nº 6.985, de 20 de outubro de 2009, que regulamenta a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio Ambiente.;Meio Ambiente;Senador Rogério Carvalho, Senador Paulo Rocha, Senador Humberto Costa, Senador Jaques Wagner, Senadora Zenaide Maia , Senador Jean Paul Prates, Senador Paulo Paim;"SE; PA; PE; BA; RN; RS";"PT; PT; PT; PT; PT; PT; PROS";11/02/2020;11/02/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR;https://www25.senado.leg.br/web/atividade/materias/-/materia/140619;Decreto nº 10.224, de 5 de fevereiro de 2020, que revoga o Decreto nº 3.524, de 26 de junho de 2000 e o Decreto nº 6.985, de 20 de outubro de 2009, que regulamenta a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio Ambiente.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 36/2020;Susta o Decreto Presidencial nº 10.224, de 5 de fevereiro de 2020, que Regulamenta a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio Ambiente.;Meio Ambiente;Senador Randolfe Rodrigues;AP;REDE;11/02/2020;11/02/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR;https://www25.senado.leg.br/web/atividade/materias/-/materia/140618;Decreto Presidencial nº 10.224, de 5 de fevereiro de 2020, que Regulamenta a Lei nº 7.797, de 10 de julho de 1989;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 597/2019;Susta a Instrução Normativa n° 76, de 30 de novembro de 2018, emitida pelo Ministério da agricultura, Pecuária e Abastecimento.;Agropecuária;Marcon;RS;PT;09/03/2019;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2218243;Instrução Normativa n° 76, de 30 de novembro de 2018, do Ministério da agricultura, Pecuária e Abastecimento.;Não;Integral;N/A;Não;;;;;;;;;;;;
PDL 598/2019;Susta a Instrução Normativa n° 77, de 30 de novembro de 2018, emitida pelo Ministério da agricultura, Pecuária e Abastecimento.;Agropecuária;Marcon;RS;PT;09/03/2019;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2218244;Instrução Normativa n° 77, de 30 de novembro de 2018, emitida pelo Ministério da agricultura, Pecuária e Abastecimento.;Não;Integral;N/A;Não;;;;;;;;;;;;
PDL 59/2020;Susta o Decreto nº 10.235, de 11 de fevereiro de 2020, que altera o Decreto nº 4.703, de 21 de maio de 2003, que dispõe sobre o Programa Nacional da Diversidade Biológica - PRONABIO e a Comissão Nacional da Biodiversidade e revoga o caput, inciso III, alíneas “a” a “e” do inciso X, incisos XII, XV, XVII do art. 6º e incisos VI a XX do caput do art. 7º do Decreto nº 4.703/2003.;Meio Ambiente;Senador Rogério Carvalho, Senador Paulo Rocha, Senadora Zenaide Maia, Senador Jean Paul Prates, Senador Jaques Wagner, Senador Paulo Paim ;"SE; PA; RN; BA; RS";"PT; PT; PT; PT; PT; PROS";18/02/2020;18/02/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR;https://www25.senado.leg.br/web/atividade/materias/-/materia/140754;Decreto nº 10.235, de 11 de fevereiro de 2020, que altera o Decreto nº 4.703, de 21 de maio de 2003;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 636/2019;Susta os efeitos do § 6º do Art. 53-L da Resolução Normativa nº 414, de 9 de setembro de 2010, da Agência Nacional de Energia Elétrica  - ANEEL que exige licenciamento ambiental e outorga de direito de uso de recursos hídricos para a concessão de benefício tarifário para as atividades rurais de aquicultura e irrigação.;Meio Ambiente;Benes Leocádio;RN;REPUBLIC;18/09/2019;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2220973;Resolução Normativa nº 414, de 9 de setembro de 2010, alterada pela Resolução Normativa no 800, de 19 de dezembro de 2017.;Não;Parcial;§ 6º do Art. 53-L;Não;;;;;;;;;;;;
PDL 67/2020;Susta, nos termos do inciso V do art. 49 da Constituição Federal, a Portaria nº 50, de 21 de janeiro de 2016, do Ministério da Justiça/Fundação Nacional do Índio, e a Portaria nº 17, de 9 de janeiro de 2019, do Ministério da Mulher, da Família e dos Direitos Humanos/Fundação Nacional do Índio/Diretoria de Proteção Territorial.;Indígenas;Senador Zequinha Marinho;PA;PSC;04/03/2020;11/03/2020 - MATÉRIA COM A RELATORIA;https://www25.senado.leg.br/web/atividade/materias/-/materia/140895;Portaria nº 50, de 21 de janeiro de 2016, do Ministério da Justiça/Fundação Nacional do Índio, e a Portaria nº 17, de 9 de janeiro de 2019, do Ministério da Mulher, da Família e dos Direitos Humanos/Fundação Nacional do Índio/Diretoria de Proteção Territorial.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 85/2020;Susta a Instrução Normativa nº 7, de 21 de Fevereiro de 2020 do Instituto Brasileiro do Meio Ambiente e do Recursos Naturais Renováveis (IBAMA) que estabelece controle a posteriori para a exportação de madeiras, indicadas no Anexo II.;Meio Ambiente;Senador Rogério Carvalho, Senador Paulo Rocha, Senador Jean Paul Prates, Senador Paulo Paim, Senador Humberto Costa, Senador Jaques Wagner, Senadora Zenaide Maia ;"SE; PA; RN; RS; BA; PE";"PT; PT; PT; PT; PT; PROS";12/03/2020;13/03/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR;https://www25.senado.leg.br/web/atividade/materias/-/materia/141084;Instrução Normativa nº 9, de 16 de abril de 2020, do Ministério da Justiça/Fundação Nacional do Índio;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 28/2019;Exclui da Área indígena São Marcos a área urbana da sede do Município de Pacaraima (RR).;Indígenas;Senado Federal - Mecias de Jesus;RR;PRB;11/07/2019;Aguardando Análise de Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2229142;Não é um Decreto que susta nenhum ato do governo - sem norma atacada;Não;N/A;N/A;Não;;;;;;;;;;;;
