"X1";"id";"name_senator";"party_abbr";"state";"nominate";"rescaled_nominate";"ideal";"rescaled_ideal"
"1";"742";"Marcelo Castro";"MDB";"PI";0,537752985954285;5,37752985954285;0,461376264379561;1,34705282016294
"2";"5012";"Randolfe Rodrigues";"REDE";"AP";-0,978928923606873;-9,78928923606873;-1,85439887729415;-9,52022983333107
"3";"4531";"Jayme Campos";"DEM";"MT";0,611374735832214;6,11374735832214;0,599789109569393;1,9965854472664
"4";"5502";"Plinio Valerio";"PSDB";"AM";0,282308906316757;2,82308906316757;0,0135145139938558;-0,754636650263112
"5";"5942";"Marcos do Val";"PODEMOS";"ES";0,335607886314392;3,35607886314392;0,182921454989608;0,0403425677684162
"6";"5718";"Eliziane Gama";"CIDADANIA";"MA";-0,341798841953278;-3,41798841953278;-0,7161456336639;-4,17872689239952
"7";"5531";"Elmano Ferrer";"PODEMOS";"PI";0,956921339035034;9,56921339035034;1,22141057049668;4,91368046128935
"8";"5990";"Carlos Viana";"PSD";"MG";0,764320015907288;7,64320015907288;0,593303076634462;1,96614831546749
"9";"5899";"Vanderlan Cardoso";"PSD";"GO";0,722882211208344;7,22882211208344;0,616749190606972;2,07617434652729
"10";"5895";"Jorge Kajuru";"CIDADANIA";"GO";-0,556226372718811;-5,56226372718811;-0,896334406048549;-5,0243022184542
"11";"6027";"Mecias de Jesus";"REPUBLICANOS";"RR";0,348397701978683;3,48397701978683;0,0332240601122386;-0,662145283210206
"12";"5537";"Dario Berger";"MDB";"SC";0,0482500717043877;0,482500717043877;-0,321062942654455;-2,32471473144351
"13";"5967";"Angelo Coronel";"PSD";"BA";0,199542358517647;1,99542358517647;-0,16451777521857;-1,59009220616035
"14";"5924";"Oriovisto Guimaraes";"PODEMOS";"PR";0,734449446201324;7,34449446201324;0,243254572929712;0,323468953496793
"15";"677";"Roberto Rocha";"PSDB";"MA";0,6905597448349;6,905597448349;0,690257923868937;2,42113019629114
