id_principal,casa,id_documento,descricao_tipo_documento,id_autor,data,url_inteiro_teor,id_leggo,peso_autor_documento,casa_autor,nome_eleitoral,autores,id_autor_parlametria,tipo_documento,tipo_acao
2190563,camara,2190563,Projeto de Lei,204530,2019-02-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707494,NA,1,camara,Dep. Rodrigo Agostinho (PSB/SP),Dep. Rodrigo Agostinho (PSB/SP),1204530,Prop. Original / Apensada,Proposição
2190563,camara,2223609,Parecer do Relator,204352,2019-10-02,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1815550,NA,1,camara,Dep. Camilo Capiberibe (PSB/AP),Dep. Camilo Capiberibe (PSB/AP),1204352,Parecer,Outros
2190945,camara,2190945,Projeto de Lei,178832,2019-02-05,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707305,NA,1,camara,Dep. Leandre (PV/PR),Dep. Leandre (PV/PR),1178832,Prop. Original / Apensada,Proposição
2191516,camara,2191516,Projeto de Lei,204468,2019-02-08,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1708812,NA,1,camara,Dep. Joenia Wapichana (REDE/RR),Dep. Joenia Wapichana (REDE/RR),1204468,Prop. Original / Apensada,Proposição
2191516,camara,2222447,Requerimento de Desapensação,204468,2019-09-30,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1813641,NA,1,camara,Dep. Joenia Wapichana (REDE/RR),Dep. Joenia Wapichana (REDE/RR),1204468,Requerimento,Proposição
2191516,camara,2242315,Projeto de Lei,204544,2020-03-30,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1871473,NA,1,camara,Dep. Alexandre Frota (PSL/SP),Dep. Alexandre Frota (PSL/SP),1204544,Prop. Original / Apensada,Proposição
2192045,camara,2192045,Projeto de Lei,204530,2019-02-13,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1710592,NA,1,camara,Dep. Rodrigo Agostinho (PSB/SP),Dep. Rodrigo Agostinho (PSB/SP),1204530,Prop. Original / Apensada,Proposição
2192045,camara,2222398,Parecer do Relator,74052,2019-09-27,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1813420,NA,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE),174052,Parecer,Outros
2192045,camara,2222400,Substitutivo,74052,2019-09-27,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1813420,NA,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE),174052,Parecer,Outros
2192045,camara,2228166,Parecer do Relator,74052,2019-11-05,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1829971,NA,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE),174052,Parecer,Outros
2192045,camara,2228169,Substitutivo,74052,2019-11-05,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1829971,NA,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE),174052,Parecer,Outros
2192045,camara,2233874,Parecer do Relator,74052,2019-12-12,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1845701,NA,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE),174052,Parecer,Outros
2192045,camara,2233875,Substitutivo,74052,2019-12-12,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1845701,NA,1,camara,Dep. Bosco Costa (PL/SE),Dep. Bosco Costa (PL/SE),174052,Parecer,Outros
2192260,camara,2192260,Projeto de Lei Complementar,204479,2019-02-14,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1711139,NA,1,camara,Dep. Nicoletti (PSL/RR),Dep. Nicoletti (PSL/RR),1204479,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,160556,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. Padre João (PT/MG),Dep. Padre João (PT/MG),1160556,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,204508,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. Igor Timo (PODE/MG),Dep. Igor Timo (PODE/MG),1204508,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,204547,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. Léo Motta (PSL/MG),Dep. Léo Motta (PSL/MG),1204547,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,73586,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. Júlio Delgado (PSB/MG),Dep. Júlio Delgado (PSB/MG),173586,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,204539,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. Hercílio Coelho Diniz (MDB/MG),Dep. Hercílio Coelho Diniz (MDB/MG),1204539,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,204491,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. Gilberto Abramo (PRB/MG),Dep. Gilberto Abramo (PRB/MG),1204491,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,204518,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. Dr. Frederico (PATRIOTA/MG),Dep. Dr. Frederico (PATRIOTA/MG),1204518,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,160632,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. Zé Silva (SOLIDARIEDADE/MG),Dep. Zé Silva (SOLIDARIEDADE/MG),1160632,Prop. Original / Apensada,Proposição
2192260,camara,2201537,Projeto de Lei Complementar,204515,2019-05-09,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1744733,NA,0.1111111111111111,camara,Dep. André Janones (AVANTE/MG),Dep. André Janones (AVANTE/MG),1204515,Prop. Original / Apensada,Proposição
2192260,camara,2205046,Requerimento de Urgência (Art. 155 do RICD),160632,2019-05-28,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1755839,NA,1,camara,Dep. Zé Silva (SOLIDARIEDADE/MG),Dep. Zé Silva (SOLIDARIEDADE/MG),1160632,Requerimento,Proposição
