id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo,status
2226717,PL,5634,Dispõe sobre o plantio de espécies nativas para a recuperação ou restauração de áreas ecologicamente sensíveis na propriedade rural. ,2019-10-23T15:53:00Z,camara,camara,Otto Alencar Filho,BA,PSD,Ordinária,Conclusiva,204530,1204530,fd413bbecb633683a6761f80be9181f0,Ativa
2227140,PL,5692,"Altera a Lei nº 9.966, de 2000, que ""dispõe sobre a prevenção, o controle e a fiscalização da poluição causada por lançamento de óleo e outras substâncias nocivas ou perigosas em águas sob jurisdição nacional e dá outras providências"", para dispor sobre o Plano Nacional de Contingência (PNC). ",2019-10-29T09:52:00Z,camara,camara,José Guimarães,CE,PT,Ordinária,Conclusiva,160556,1160556,233afc93fd30fe6ebf3775a8c5373a53,Ativa
2227211,PL,5702,Dispõe sobre o estabelecimento do Fundo Amazônia. ,2019-10-29T15:06:00Z,camara,camara,Nilto Tatto,SP,PT,Ordinária,Conclusiva,74090,174090,993ef0e756b19e1a5f2364c9703b5a9f,Ativa
2228130,PL,5822,"Acrescenta redação à Lei no 9.985, de 18 de julho de 2000, para viabilizar o licenciamento ambiental de lavras garimpeiras de pequeno porte em Unidades de Conservação de Uso Sustentável do tipo Floresta Nacional. ",2019-11-05T10:37:00Z,camara,camara,Delegado Éder Mauro,PA,PSD,Ordinária,Conclusiva,204541,1204541,75f8f0e82ea3cd2bf81a44349b715026,Ativa
2229725,PL,6017,"Altera a Lei nº 12.651, de 25 de maio de 2012 (Código Florestal), para dispor sobre o registro da Cota de Reserva Ambiental (CRA). ",2019-11-18T13:02:00Z,camara,NA,,NA,NA,Prioridade,Conclusiva,204352,1204352,d4f76cc1a0e7a440afe4ce683eb2c315,Ativa
140530,PL,135,"Altera a Lei nº 12.651, de 25 de maio de 2012 (Código Florestal), para estabelecer que áreas rurais com floresta nativa submetidas a queimadas ilegais serão destinadas a reflorestamento.",2020-02-05T00:00:00Z,senado,senado,Jorge Kajuru CIDADANIA / GO,NA,NA,Ordinária,Plenário,581,2581,6c74bedf8b714e465f7fe246047a3710,Ativa
135332,PL,875,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, para tratar da conversão de multas.",2019-02-19T00:00:00Z,senado,senado,Telmário Mota PROS / RR,NA,NA,Ordinária,Plenário,4531,24531,1500badc155ea18ae6494b247a96c52f,Ativa
135609,PEC,13,"Altera o art. 156 da Constituição Federal, para estabelecer critérios ambientais para a cobrança do Imposto sobre Propriedade Predial e Territorial Urbana e desonerar a parcela do imóvel com vegetação nativa.",2019-03-12T00:00:00Z,senado,senado,Plínio Valério PSDB / AM e outros,NA,NA,Ordinária,Plenário,5529,25529,5a4a116465040efd1246bf4612a8e02e,Ativa
135672,PL,1404,Atribui aos corais da Amazônia a condição de Área de Preservação Permanente.,2019-03-13T00:00:00Z,senado,senado,Veneziano Vital do Rêgo PSB / PB,NA,NA,Ordinária,Plenário,5926,25926,528b129ac1078010f36741d9c81eed63,Ativa
135648,PL,1396,"Altera a Lei nº 6.938, de 31 de agosto de 1981, que dispõe sobre a Política Nacional do Meio Ambiente, seus fins e mecanismos de formulação e aplicação, e dá outras providências, para estabelecer o dever de o poluidor ressarcir a União, o Estado ou o Município das despesas incorridas com operações envolvendo forças policiais, corpo de bombeiros, defesa civil, assistência social ou outros órgãos públicos, realizadas para socorro, resgate, assistência e mitigação dos danos ambientais e sociais, inclusive as despesas realizadas pelo Sistema Único de Saúde com o tratamento das vítimas.",2019-03-13T00:00:00Z,senado,senado,Carlos Viana PSD / MG,NA,NA,Ordinária,Plenário,5529,25529,d5c7693ccc965ea6923dddab0c3e5bbf,Ativa
