GW x geral,Pos/Neg/Neutro para o ambientalismo,id,sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,casa,tema,autor,link
,,2262107,PL,1543,2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do novo coronavírus (Covid-19).,0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Senado Federal - Mecias de Jesus,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262107
,,2262110,PL,4478,2020,"Dispõe sobre o Sistema de Avaliação e Certificação da Conformidade Ambiental, Social e de Governança – SISASG, que trata da certificação e conformidade relativa à produção agrossilvipastoril; produção agroindustrial; e produção de insumos e bioinsumos, por produtores rurais e empresas  que atendam as variáveis contidas no sistema, e dá outras providências.",0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Christino Aureo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262110
,,2262146,PL,4492,2020,"Altera a Lei nº 12.305, de 2 de agosto de 2010, que institui a Política Nacional de Resíduos Sólidos, para obrigar à estruturação e implementação de sistema de logística reversa para filtros e embalagens de cigarro pós-consumo.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,José Guimarães,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262146
,,2262764,PL,4520,2020,"Altera o art. 29 da Lei nº 9.605, de 12 de fevereiro de 1998, a fim de aumentar as penas cominadas aos crimes nele previstos",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Capitão Alberto Neto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262764
,,2262777,PL,4529,2020,Estabelece mecanismos de proteção ao Patrimônio Científico Brasileiro de Origem Espacial,0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Wolney Queiroz,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262777
,,2262784,PL,4531,2020,"Estabelece moratória para a supressão de vegetação nativa na Amazônia Legal, nos termos que especifica, e dá outras providências",0,139,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Nilto Tatto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262784
,,2262788,PDL,398,2020,"Susta a Resolução nº 126, de 10 de junho de 2020, do Conselho do Programa de Parcerias de Investimentos (CPPI), que trata da criação da Política de Apoio ao Licenciamento Ambiental de Projetos de Investimentos para a Produção de Minerais Estratégicos - ""Pró-Minerais Estratégicos"".",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,Alessandro Molon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262788
,,2262789,PL,4534,2020,"Altera o Decreto-Lei nº 399, de 30 de abril de 1938, para incluir o ovo como item alimentar essencial no grupo de alimentos que compõem a cesta básica.",0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Jerônimo Goergen,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262789
,,2262801,PL,4541,2020,Dispõe sobre o controle da concentração de estrogênio nos efluentes das estações de tratamento de esgoto e na água de abastecimento público.,0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Paula Belmonte,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262801
,,2262802,PL,4542,2020,"ALTERA A LEI Nº 9.605/98 PARA AUMENTAR A PENA PARA O CRIME DE PROVOCAÇÃO DE INCÊNDIOS EM MATA OU FLORESTA, NA MODALIDADE DOLOSA E CULPOSA, TIPIFICANDO A CONDUTA OMISSIVA DA AUSÊNCIA DE AÇÕES PREVENTIVAS DO USO DO MANEJO INTEGRADO DO FOGO (MIF).",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Gervásio Maia,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262802
