id,data_apresentacao,nome,ementa,tema,autor,uri_tramitacao
135108,2019-02-07,PL 553/2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para prever critérios objetivos para a aplicação da pena à pessoa jurídica condenada por crime ambiental.",Meio ambiente,Styvenson Valentim PODEMOS / RN,https://www25.senado.leg.br/web/atividade/materias/-/materia/135108
135110,2019-02-07,PL 548/2019,"Acrescenta art. 1.353-A à Lei nº 10.406, de 10 de janeiro de 2002, para permitir à assembleia de condomínios edilícios votação por meio eletrônico ou por outra forma de coleta individualizada do voto dos condôminos ausentes à reunião presencial, quando a lei exigir quórum especial para a deliberação da matéria.",Direito civil e processual civil,Soraya Thronicke PSL / MS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135110
135112,2019-02-07,PL 547/2019,"Altera a Lei nº 13.152, de 29 de julho de 2015, para dispor sobre o valor do salário mínimo em 2019.",Política econômica e sistema financeiro,Paulo Rocha PT / PA e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135112
135113,2019-02-07,PDL 17/2019,"Altera o Decreto Legislativo nº 276, de 2014, para extinguir a ajuda de custo concedida aos membros do Congresso Nacional por ocasião do início e do final de seus mandatos.",Nao especificado,Flávio Arns REDE / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135113
135114,2019-02-07,PL 549/2019,"Altera a Lei nº 10.671, de 15 de maio de 2003, que dispõe sobre o Estatuto de Defesa do Torcedor e dá outras providências, para ampliar a proteção às torcedoras contra atos de violência em ambientes de prática esportiva.","Família, proteção a crianças, adolescentes, mulheres e idosos",Leila Barros PSB / DF,https://www25.senado.leg.br/web/atividade/materias/-/materia/135114
135115,2019-02-07,PL 550/2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, para reforçar a efetividade da Política Nacional de Segurança de Barragens (PNSB), e a Lei nº 9.433, de 8 de janeiro de 1997, para dotar de novos instrumentos o Conselho Nacional de Recursos Hídricos (CNRH) no exercício de sua atribuição de zelar pela implementação da PNSB.",Minas e energia,Leila Barros PSB / DF,https://www25.senado.leg.br/web/atividade/materias/-/materia/135115
135116,2019-02-07,PL 552/2019,"Institui o Fundo Nacional dos Direitos das Pessoas com Deficiência, altera a Lei nº 9.250, de 26 de dezembro de 1995, e autoriza deduzir do imposto sobre a renda das pessoas físicas e das pessoas jurídicas as doações feitas aos fundos controlados pelos conselhos de direitos das pessoas com deficiência.",Direitos humanos e minorias,Paulo Paim PT / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135116
135117,2019-02-07,PL 551/2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa e dá outras providências, para redefinir critérios para redução da área de Reserva Legal em imóveis rurais da Amazônia Legal.",Meio ambiente,Mecias de Jesus REPUBLICANOS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135117
135118,2019-02-07,PEC 2/2019,"Modifica o art. 37 da Constituição Federal, para suspender o transcurso do prazo de validade de concurso público na hipótese de o Poder Público suspender as nomeações por falta de recursos financeiros.",Servidores públicos,Rose de Freitas PODEMOS / ES e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135118
135119,2019-02-07,PL 556/2019,"Altera o Decreto-Lei no 2.848, de 7 de dezembro de 1940 – Código Penal, para elevar a pena do crime de aborto provocado por terceiro, com o consentimento da gestante, e criar nova causa de aumento de pena.",Direito penal e processual penal,Eduardo Girão PODEMOS / CE,https://www25.senado.leg.br/web/atividade/materias/-/materia/135119
