id,data_apresentacao,nome,ementa,tema,autor,uri_tramitacao
135120,2019-02-07,PEC 1/2019,Acrescenta ao art. 57 o §4º-A para dispor sobre o voto aberto na eleição das mesas no congresso.,Organização político-administrativa do Estado,Rose de Freitas PODEMOS / ES e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135120
135121,2019-02-07,PRS 1/2019,Altera o Regimento Interno para estabelecer o voto aberto nas votações do Senado Federal.,Nao especificado,Chico Rodrigues DEM / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135121
135122,2019-02-07,PL 557/2019,"Altera a Lei nº 4.375, de 17 de agosto de 1964, que dispõe sobre o Serviço Militar, para conceder prioridade a jovens egressos de instituições de acolhimento na seleção para o serviço militar.","Militares dos estados, DF e territórios",Eduardo Girão PODEMOS / CE,https://www25.senado.leg.br/web/atividade/materias/-/materia/135122
135126,2019-02-11,PL 577/2019,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, que dispõe sobre o imposto de renda das pessoas físicas, para permitir a dedução de despesas com pagamento de prestações do único imóvel residencial.",Tributação,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135126
135127,2019-02-11,PL 578/2019,"Permite a dedução da contribuição patronal devida, do valor da Bolsa Família recebido pelo empregado, enquanto durar a relação de emprego.",Trabalho e emprego,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135127
135128,2019-02-11,PL 581/2019,"Altera a Lei nº 10.101, de 19 de dezembro de 2000, para dar à participação dos trabalhadores nos lucros ou resultados das empresas o mesmo tratamento fiscal dado à distribuição de lucros ou dividendos aos sócios ou acionistas.",Trabalho e emprego,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135128
135129,2019-02-11,PLP 16/2019,"Regulamenta os §§ 1º e 3º do art. 173 da Constituição Federal, para instituir o estatuto jurídico da empresa pública e da sociedade de economia mista que explorem atividade econômica de produção ou comercialização de bens ou de prestação de serviços, bem como de suas subsidiárias.",Organização político-administrativa do Estado,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135129
135130,2019-02-11,PL 585/2019,"Altera o inciso XIV do art. 6º da Lei nº 7.713, de 22 de dezembro de 1988, para incluir o diabetes melito entre os agravos à saúde a cujos portadores é concedida a isenção do imposto de renda sobre os proventos de aposentadoria ou reforma.",Tributação,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135130
135131,2019-02-11,PLP 17/2019,Exclui os espetáculos circenses da incidência do Imposto Sobre Serviços de Qualquer Natureza.,Tributação,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135131
135132,2019-02-11,PL 579/2019,"Altera dispositivos da Lei 9.491, de 9 de setembro de 1997, que dispõe sobre procedimentos relativos ao Programa Nacional de Desestatização.",Administração pública: órgãos públicos,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135132
135133,2019-02-11,PL 580/2019,Destina percentual da arrecadação de loterias para o Fundo Especial para Calamidades Públicas (Funcap).,Planejamento e orçamento,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135133
135134,2019-02-11,PL 575/2019,"Dispõe sobre isenção do Imposto sobre Produtos Industrializados (IPI), na aquisição de insumos e equipamentos especificados, utilizados na produção de leite.",Tributação,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135134
135135,2019-02-11,PL 586/2019,"Altera a Lei nº 7.713, de 22 dezembro de 1988, para isentar do imposto de renda das pessoas físicas os rendimentos correspondentes a honorários por serviços prestados ao Sistema Único de Saúde por profissionais de saúde.",Tributação,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135135
135136,2019-02-11,PL 582/2019,"Acrescenta o inciso XXII ao art. 6º da Lei nº 7.713, de 22 de dezembro de 1988, para isentar do Imposto de Renda das Pessoas Físicas quaisquer rendimentos percebidos por maiores de 75 (setenta e cinco) anos de idade, desde que não percebam rendimentos de aposentadoria, reforma ou pensão superiores ao limite máximo estabelecido para os benefícios do regime geral de previdência social.",Previdência social,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135136
135137,2019-02-11,PL 576/2019,"Concede isenção do Imposto sobre Produtos Industrializados (IPI), da contribuição para o PIS/PASEP e da COFINS incidentes sobre veículos para transporte coletivo de estudantes, quando adquiridos por Prefeituras Municipais e pelo Distrito Federal, bem como por profissionais autônomos e suas cooperativas habilitados e dedicados exclusivamente ao transporte escolar.",Tributação,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135137
135138,2019-02-11,PL 587/2019,"Acrescenta art. 627-B à Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre a imposição de multas a pequenos agricultores durante o período de calamidade pública decorrente de frustração na produção por fatores climáticos negativos e dá outras providências.",Trabalho e emprego,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135138
135139,2019-02-11,PL 583/2019,"Altera o § 5º do art. 5º da Lei nº 6.194, de 19 de dezembro de 1974, que dispõe sobre Seguro Obrigatório de Danos Pessoais causados por veículos automotores de via terrestre, ou por sua carga, a pessoas transportadas ou não, para prever que as lesões físicas ou psíquicas permanentes poderão ser comprovadas por laudo médico.",Trânsito,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135139
135140,2019-02-11,PL 584/2019,Estabelece normas para a concessão de assistência judicial gratuita aos necessitados.,Direito civil e processual civil,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135140
135145,2019-02-12,PL 598/2019,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para incluir conteúdo sobre a prevenção da violência contra a mulher nos currículos da educação básica.","Família, proteção a crianças, adolescentes, mulheres e idosos",Plínio Valério PSDB / AM,https://www25.senado.leg.br/web/atividade/materias/-/materia/135145
135146,2019-02-12,PL 600/2019,"Altera a Lei nº 9.503, de 23 de setembro de 1997 – Código de Trânsito Brasileiro, para dispor sobre a substituição de pena dos crimes previstos no §3º do art. 302 e no §2º do art. 303.",Trânsito,Fabiano Contarato REDE / ES,https://www25.senado.leg.br/web/atividade/materias/-/materia/135146
135147,2019-02-12,PLP 19/2019,Dispõe sobre nomeação e demissão do Presidente e diretores do Banco Central do Brasil.,Administração pública: órgãos públicos,Plínio Valério PSDB / AM,https://www25.senado.leg.br/web/atividade/materias/-/materia/135147
135148,2019-02-12,PL 603/2019,"Altera a Lei nº 10.826, de 22 de dezembro de 2003, para determinar que todo projétil de arma de fogo conterá dispositivo que possibilite a identificação de seu lote, que será de no máximo mil unidades; as forças armadas, polícias e guardas municipais registrarão os lotes e quantidade de munição recebidos, o destino da distribuição das munições dentro da instituição e a finalidade de uso, com a identificação dos usuários; o Exército fará inspeções semestrais nas empresas que fabricam e distribuem armas de fogo e munições; as delegacias registrarão nas ocorrências de infração penal todas as informações de identificação da arma e da munição disponíveis; e define o prazo de um ano para a integração do Sinarm e do Sigma.",Segurança pública,Styvenson Valentim PODEMOS / RN,https://www25.senado.leg.br/web/atividade/materias/-/materia/135148
135149,2019-02-12,PL 601/2019,"Altera a Lei nº 9.503, de 23 de setembro de 1997 – Código de Trânsito Brasileiro, para reconhecer o registro de infrações de trânsito feito por qualquer pessoa, física ou jurídica, como meio de prova apto à lavratura do auto de infração.",Trânsito,Fabiano Contarato REDE / ES,https://www25.senado.leg.br/web/atividade/materias/-/materia/135149
135150,2019-02-12,PL 604/2019,"Altera a Lei no 11.482, de 31 de maio de 2007, para modificar a faixa de isenção constante na tabela progressiva do Imposto sobre a Renda da Pessoa Física",Tributação,Humberto Costa PT / PE e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135150
135151,2019-02-12,PL 602/2019,"Altera a Lei nº 7.689, de 15 de dezembro de 1988, para elevar a alíquota da Contribuição Social sobre o Lucro Líquido - CSLL em relação às pessoas jurídicas de seguros privados e de capitalização e às referidas nos incisos I a VII, IX e X do § 1º do art. 1º da Lei Complementar nº 105, de 10 de janeiro de 2001.",Tributação,Humberto Costa PT / PE e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135151
135152,2019-02-12,PL 605/2019,Dispõe sobre a política de valorização do salário mínimo para o período de 2020 a 2023.,Trabalho e emprego,Humberto Costa PT / PE e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135152
135153,2019-02-12,PDL 23/2019,"Susta o Decreto nº 9.685, de 15 de janeiro de 2019, que altera o Decreto nº 5.123, de 1º de julho de 2004, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - SINARM e define crimes.",Nao especificado,Humberto Costa PT / PE e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135153
135154,2019-02-12,PDL 22/2019,"Susta o Decreto nº 9.690, de 23 de janeiro de 2019, que altera o Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011 - Lei de Acesso à Informação.",Nao especificado,Humberto Costa PT / PE e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135154
135155,2019-02-12,PEC 3/2019,"Altera a redação do art. 201 da Constituição Federal, para extinguir o auxílio-reclusão.",Previdência social,Marcio Bittar MDB / AC e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135155
135157,2019-02-12,PLP 21/2019,"Regulamenta o parágrafo único do art. 79 da Constituição Federal, para dispor sobre as competências e atribuições do Vice-Presidente da República.",Administração pública: órgãos públicos,Veneziano Vital do Rêgo PSB / PB,https://www25.senado.leg.br/web/atividade/materias/-/materia/135157
135158,2019-02-12,PL 639/2019,"Altera o art. 32 da Lei nº 9.605, de 12 de fevereiro de 1998, para tipificar como crime de maus-tratos a conduta do agente público que, injustificadamente, sacrificar animais apreendidos ou deixar de soltá-los em seu habitat natural ou de destiná-los a pessoas ou entidades que por eles queiram se responsabilizar.",Meio ambiente,Telmário Mota PROS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135158
135159,2019-02-12,PL 664/2019,"Altera o parágrafo único do art. 32 da Lei nº 8.078, de 11 de setembro de 1990, para exigir que o fornecedor de bens no mercado nacional oferte peças de reposição por período não inferior a dez anos após cessadas a produção ou a importação.",Defesa do consumidor,Ciro Nogueira PP / PI,https://www25.senado.leg.br/web/atividade/materias/-/materia/135159
135160,2019-02-12,PL 634/2019,"Altera o art. 75 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para aumentar o tempo máximo de cumprimento de penas privativas de liberdade para quarenta anos; o art. 157 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para aumentar as penas previstas para o crime de latrocínio, e o art. 1º da Lei nº 8.072, de 25 de julho de 1990, para aumentar o interstício mínimo para a progressão de regime de cumprimento de pena para condenados pela prática de crime hediondo.",Direito penal e processual penal,Luiz do Carmo MDB / GO,https://www25.senado.leg.br/web/atividade/materias/-/materia/135160
135161,2019-02-12,PL 635/2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, para reforçar a efetividade da Política Nacional de Segurança de Barragens (PNSB), e a Lei nº 9.433, de 8 de janeiro de 1997, para dotar de novos instrumentos o Conselho Nacional de Recursos Hídricos (CNRH), no exercício de sua atribuição de zelar pela implementação da PNSB.",Recursos hídricos,Lasier Martins PODEMOS / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135161
135162,2019-02-12,PL 642/2019,"Altera o Artigo 3º da Lei nº 12.550, de 15 de dezembro de 2011; o inciso III do art. 16 da Lei nº 5.540, de 28 de novembro de 1968; e o parágrafo único do art. 56 da Lei nº 9.394, de 20 de dezembro de 1996, para permitir a participação dos servidores da Ebserh – Empresa Brasileira de Serviços Hospitalares nos processos de consulta prévia para a escolha de dirigentes das instituições federais de educação superior em que trabalham, desde que autorizados pelos respectivos Conselhos Universitários.",Educação,Veneziano Vital do Rêgo PSB / PB,https://www25.senado.leg.br/web/atividade/materias/-/materia/135162
135163,2019-02-12,PEC 4/2019,"Altera a redação do art. 228 da Constituição Federal, para adequar a idade de inimputabilidade penal à nova realidade demográfica brasileira e combater a criminalidade.",Direito penal e processual penal,Marcio Bittar MDB / AC e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/135163
135164,2019-02-12,PRS 2/2019,Altera o Regimento Interno do Senado Federal para criar a Comissão de Segurança Pública e dá outras providências.,Nao especificado,Major Olimpio PSL / SP,https://www25.senado.leg.br/web/atividade/materias/-/materia/135164
135165,2019-02-11,PDL 25/2019,"Exclui da Área Indígena WAIMIRIATROARI o leito da BR 174, no Estado de Roraima.",Nao especificado,Mecias de Jesus REPUBLICANOS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135165
135166,2019-02-12,PL 651/2019,"Altera o Decreto-Lei Nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, para vedar a realização de audiências de custódia.",Direito penal e processual penal,Marcio Bittar MDB / AC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135166
135167,2019-02-12,PL 648/2019,"Altera o Decreto-Lei Nº 2.848, de 7 de dezembro de 1940 – Código Penal, para adequar as penas privativas de liberdade à nova realidade demográfica brasileira, de maneira a punir com mais efetividade os criminosos.",Direito penal e processual penal,Marcio Bittar MDB / AC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135167
135169,2019-02-12,PL 616/2019,"Altera a Lei nº 6.360, de 23 de setembro de 1976, que dispõe sobre a vigilância sanitária a que ficam sujeitos os medicamentos, as drogas, os insumos farmacêuticos e correlatos, cosméticos, saneantes e outros produtos, e dá outras providências, para dispor sobre a regulação ambiental de cosméticos, e dispõe sobre a proibição de protetores solares considerados tóxicos para os recifes de corais.",Meio ambiente,Lasier Martins PODEMOS / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135169
135170,2019-02-12,PLP 22/2019,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências, para estabelecer que as renúncias fiscais tenham prazo determinado, objetivos, metas e órgão responsável por sua supervisão.",Fiscalização e controle,Maria do Carmo Alves DEM / SE,https://www25.senado.leg.br/web/atividade/materias/-/materia/135170
135171,2019-02-12,PL 650/2019,"Altera a Lei nº 13.260, de 16 de março de 2016, que regulamenta o disposto no inciso XLIII do art. 5o da Constituição Federal, disciplinando o terrorismo, tratando de disposições investigatórias e processuais e reformulando o conceito de organização terrorista, para dispor sobre a atividade terrorista de movimentos pseudossociais.",Direito penal e processual penal,Marcio Bittar MDB / AC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135171
135173,2019-02-12,PL 633/2019,"Altera a Lei n° 12.527, de 18 de novembro de 2011, que “Regula o acesso a informações previsto no inciso XXXIII do art. 5o, no inciso II do § 3o do art. 37 e no § 2o do art. 216 da Constituição Federal”, para garantir a transparência e privilegiar o princípio da publicidade.",Administração pública: órgãos públicos,Leila Barros PSB / DF,https://www25.senado.leg.br/web/atividade/materias/-/materia/135173
135174,2019-02-12,PL 641/2019,"Altera a Lei nº 9.294, de 15 de julho de 1996, para regular as advertências sobre os riscos associados ao uso de narguilé.",Saúde,Ciro Nogueira PP / PI,https://www25.senado.leg.br/web/atividade/materias/-/materia/135174
135175,2019-02-11,PDL 28/2019,"Exclui da Terra Indígena São Marcos a área urbana da sede do Município de Pacaraima, no Estado de Roraima.",Nao especificado,Mecias de Jesus REPUBLICANOS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135175
135177,2019-02-12,PDL 27/2019,"Susta o art. 1º do Decreto nº 9.690, de 23 de janeiro de 2019, que altera os §§ 1º a 4º do art. 30 do Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011 - Lei de Acesso à Informação.",Nao especificado,Rogério Carvalho PT / SE,https://www25.senado.leg.br/web/atividade/materias/-/materia/135177
135178,2019-02-12,PL 665/2019,"Altera o § 1° do art. 10 da Lei n. º 11.671, de 8 de maio de 2008, que dispõe sobre a transferência e inclusão de presos em estabelecimentos penais federais de segurança máxima e dá outras providências.",Direito penal e processual penal,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135178
135179,2019-02-12,PL 646/2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, para reforçar a efetividade da Política Nacional de Segurança de Barragens (PNSB); a Lei nº 9.433, de 8 de janeiro de 1997, para dotar de novos instrumentos o Conselho Nacional de Recursos Hídricos (CNRH) no exercício de sua atribuição de zelar pela implementação da PNSB; a Lei nº 8.072, de 25 de julho de 1990, para tornar hediondo o crime de poluição ambiental com resultado morte; e a Lei nº 9.605, de 12 de fevereiro de 1998, para instituir causa de aumento de pena no crime de poluição com resultado de morte.",Meio ambiente,Randolfe Rodrigues REDE / AP,https://www25.senado.leg.br/web/atividade/materias/-/materia/135179
135180,2019-02-12,PL 647/2019,"Altera a Lei Nº 7.210, de 11 de julho de 1984, para adequar e moralizar a execução penal brasileira.",Direito penal e processual penal,Marcio Bittar MDB / AC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135180
135181,2019-02-12,PL 643/2019,"Dispõe sobre o atendimento a condições de preservação ambiental e de saúde e segurança dos trabalhadores, para a realização das atividades de lavra mineral no país.",Minas e energia,Veneziano Vital do Rêgo PSB / PB,https://www25.senado.leg.br/web/atividade/materias/-/materia/135181
135183,2019-02-12,PL 679/2019,"Acrescenta dispositivo ao Decreto-Lei nº 3.931, de 11 de dezembro de 1941 - Código de Processo Penal, para criar prisão preventiva excepcional, seus procedimentos e prazos.",Direito penal e processual penal,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135183
135185,2019-02-12,PL 666/2019,"Altera a Lei 9.612, de 19 de fevereiro de 1998, que ""Institui o Serviço de Radiodifusão Comunitária"", para permitir a veiculação de publicidade institucional.",Comunicações,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135185
135186,2019-02-12,PL 678/2019,"Institui o Programa Nacional de Crédito ao Jovem Empreendedor, em atendimento ao disposto no inciso III do art. 15 da lei 12.852, de 5 de agosto de 2013.","Família, proteção a crianças, adolescentes, mulheres e idosos",Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135186
135187,2019-02-12,PL 677/2019,"Altera o artigo 121 do Decreto-Lei no 2848, de 7 de dezembro de 1940.",Direito penal e processual penal,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135187
135188,2019-02-12,PL 676/2019,"Altera a Lei nº 10.201, de 14 de fevereiro de 2001, para assegurar a transferência de recursos do Fundo Nacional de Segurança Pública- FNSP para os Municípios que sejam sedes de penitenciárias, colônias agrícolas, industriais ou similares, casas do albergado, centros de observação e hospitais de custódia e tratamento psiquiátrico.",Segurança pública,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135188
135189,2019-02-12,PL 675/2019,"Dispõe sobre a anistia aos empréstimos registrados em nome dos membros das cooperativas e associações comunitárias do município de Rosário junto ao Banco do Nordeste (BNB) e Banco do Brasil (BB), referente à primeira e a segunda etapas do Pólo de Confecções de Rosário (MA) e dá outras providências.",Desenvolvimento regional,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135189
135190,2019-02-12,PL 673/2019,"Altera a Lei nº 13.102, de 2015 (Código de Processo Civil).",Direito civil e processual civil,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135190
135191,2019-02-12,PL 672/2019,"Altera a Lei 7.716, de 5 de janeiro de 1989, para incluir na referida legislação os crimes de discriminação ou preconceito de orientação sexual e/ou identidade de gênero.",Direitos humanos e minorias,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135191
135193,2019-02-12,PL 681/2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, a fim de criar punição mais rigorosa nos casos de rompimento de barragem.",Minas e energia,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135193
135194,2019-02-12,PL 684/2019,Reconhece o Estado de Santa Catarina como “Polo Náutico do Brasil”.,Homenagem cívica,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135194
135195,2019-02-12,PL 683/2019,"Confere ao Município de Florianópolis, no Estado de Santa Catarina, o título de Capital Nacional da Nano Tecnologia e Novos Materiais.",Homenagem cívica,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135195
135197,2019-02-12,PL 644/2019,"Altera a Lei nº 4.737, 15 de julho de 1965 – O Código Eleitoral Brasileiro, para restringir a abrangência das salvaguardas estabelecidas em seu Art. 236.",Direito eleitoral e partidos políticos,Flávio Arns REDE / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135197
135198,2019-02-12,PL 685/2019,"Acrescenta inciso ao art. 20 da Lei nº 8.036, de 11 de maio de 1990, que “dispõe sobre o Fundo de Garantia do Tempo de Serviço, e dá outras providências”, a fim de permitir a movimentação da conta vinculada do trabalhador para fomentar a abertura de micro e pequenas empresas.","Indústria, comércio e serviço",Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135198
135199,2019-02-12,PL 680/2019,"Altera a Lei nº 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, para determinar a necessidade de alvará de funcionamento para entidades de prática desportiva formadoras de atletas e a publicação da data de nascimento e das entidades de prática desportiva de origem e destino de atletas em caso de transferência internacional.",Desporto e lazer,Romário PODEMOS / RJ,https://www25.senado.leg.br/web/atividade/materias/-/materia/135199
135200,2019-02-12,PL 687/2019,Autoriza as Unidades da Federação e o Distrito Federal a criarem a Loteria Estadual de Valorização da Educação (LEVE).,Educação,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135200
135202,2019-02-12,PL 689/2019,"Institui o Fundo Nacional de Custeio dos Conselhos Tutelares - FNCCT, e da outras providências.","Família, proteção a crianças, adolescentes, mulheres e idosos",Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135202
135203,2019-02-12,PLP 23/2019,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006 a fim de incentivar a pesquisa e desenvolvimento da Nanotecnologia no Brasil.",Tributação,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135203
135204,2019-02-12,PL 655/2019,"Acrescenta os artigos 213-A e 217 -B ao Decreto-Lei no 2.848 de-""-1940 - Código Penal para dispor sobre o crime de estupro compartilhado e dá outras
providências.",Direito penal e processual penal,Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135204
135205,2019-02-12,PL 636/2019,Cria o Dia Nacional do Endocrinologista.,Data comemorativa,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135205
135206,2019-02-12,PL 688/2019,"Altera a Lei nº 9.503, de 1997 - Código de Trânsito Brasileiro - Tornando mais gravosa a punição da prática de homicídio e lesão corporal na condução de veículo automotor, apresentando o condutor capacidade psicomotora alterada em razão da influência de álcool ou de outra substância psicoativa que determine dependência.",Trânsito,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135206
135207,2019-02-12,PL 690/2019,Dispõe sobre a concessão do Selo Estabelecimento Sustentável.,Meio ambiente,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135207
