sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
PL,5427,2020,"Altera o inciso VII do art. 112 da Lei nº 7.210, de 11 de julho de 1984 – Lei de Execução Penal, para prever o cumprimento da percentagem de 60% da pena para a obtenção da progressão de regime no caso do apenado por crime hediondo ou equiparado, se reincidente.",145741,senado,Nao especificado,Marcos do Val PODEMOS / ES,https://www25.senado.leg.br/web/atividade/materias/-/materia/145741
PL,5429,2020,"Altera a Lei nº 8.212, de 24 de julho de 1991, para isentar o salário-maternidade da incidência de contribuições previdenciárias.",145746,senado,Nao especificado,Lasier Martins PODEMOS / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/145746
PL,5435,2020,Dispõe sobre o Estatuto da Gestante.,145760,senado,Nao especificado,Eduardo Girão PODEMOS / CE,https://www25.senado.leg.br/web/atividade/materias/-/materia/145760
PL,5448,2020,"Altera a Lei nº 13.675, de 11 de junho de 2018, para acrescer dispositivo regulando a prisão especial dos profissionais de segurança pública.",145776,senado,Nao especificado,Major Olimpio PSL / SP,https://www25.senado.leg.br/web/atividade/materias/-/materia/145776
PL,5482,2020,"Dispõe sobre a conservação, a proteção, a restauração e a exploração sustentável do bioma Pantanal e altera o art. 36 da Lei no 9.985, de 18 de julho de 2000, que institui o Sistema Nacional de Unidades de Conservação da Natureza.",145842,senado,Nao especificado,Wellington Fagundes PL / MT,https://www25.senado.leg.br/web/atividade/materias/-/materia/145842
PL,5483,2020,"Altera os arts. 6º, 201, 212, 400, 405, 411 e 473 do Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, para estabelecer parâmetros éticos a serem observados pelas autoridades para a oitiva de vítimas e testemunhas e tornar obrigatória a gravação audiovisual de toda colheita de prova oral, além de garantir a sustentação oral nos julgamentos colegiados..",145843,senado,Nao especificado,Wellington Fagundes PL / MT,https://www25.senado.leg.br/web/atividade/materias/-/materia/145843
PL,5493,2020,Institui o Programa Emergencial de Regularização Tributária (PEMERT) para débitos administrados pela Secretaria Especial da Receita Federal do Brasil e pela Procuradoria-Geral da Fazenda Nacional.,145869,senado,Nao especificado,Marcos Rogério DEM / RO,https://www25.senado.leg.br/web/atividade/materias/-/materia/145869
PL,5496,2020,"Altera a Lei nº 13.178, de 22 de outubro de 2015, que dispõe sobre a ratificação dos registros imobiliários decorrentes de alienações e concessões de terras públicas situadas nas faixas de fronteira, para autorizar a ratificação de registros imobiliários referentes a imóveis rurais cujo domínio esteja sendo questionado ou reivindicado na esfera administrativa ou judicial por órgão ou entidade da administração federal direta ou indireta; e para estender os prazos para requerer a certificação do georreferenciamento do imóvel e a atualização da inscrição do imóvel no Sistema Nacional de Cadastro Rural para fins de ratificação dos registros.",145872,senado,Nao especificado,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/145872
PL,5512,2020,Estabelece incentivo e financiamento à política de assistência social por meio de doações de pessoas físicas ou jurídicas e dá outras providenciais.,145926,senado,Nao especificado,Diego Tavares PP / PB,https://www25.senado.leg.br/web/atividade/materias/-/materia/145926
PL,5513,2020,Institui o Programa Social de Acesso às Telecomunicações.,145927,senado,Nao especificado,Diego Tavares PP / PB,https://www25.senado.leg.br/web/atividade/materias/-/materia/145927
